"","990
022","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
025","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
026","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","46","",".",".",".",".",".",".","",".","84.8",".",".",".","15.2","",".",".",".","."
"PHMCOL-M
724","Dept. Total","169","3.742","53.3","10.7","6.5","0.6","1.2","0.6","",".","23.1",".",".",".","4.1","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Senior","","2","3.400","50.0",".",".","50.0",".",".","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","3","3.571","66.7",".",".","33.3",".",".","",".",".",".",".",".",".","",".",".",".","."
"Special","","2","3.750","50.0",".","50.0",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","158","3.748","53.8","10.8","6.3",".","1.3","0.6","",".","23.4",".",".",".","3.8","",".",".",".","."
"Prof Yr 3","","6","3.750","33.3","16.7",".",".",".",".","",".","33.3",".",".",".","16.7","",".",".",".","."
"Professionals","","6","3.750","33.3","16.7",".",".",".",".","",".","33.3",".",".",".","16.7","",".",".",".","."
"","Dept. Total","169","3.742","53.3","10.7","6.5","0.6","1.2","0.6","",".","23.1",".",".",".","4.1","",".",".",".","."
