"COMMUNICATION ARTS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"614","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"614","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"614","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Exper in Communicatn","Course Total","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"615","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"615","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"615","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Secnd Fld Exp-Communication","Course Total","","5","***","","","","","","","","","","","","","","","",""
"616
Mass Media and Youth","001","","45","3.267","24.4","31.1","26.7","13.3","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"617
Hlth Communication-Info Age","001","","7","3.667","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3","."
"651
Adv Video Productn&Directn","001","","23","3.196","13.0","21.7","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"656","001","","14","3.571","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"656","002","","15","3.321","13.3","40.0","33.3","6.7",".",".",".",".",".",".",".",".","6.7",".",".","."
"Adv Motion Picture Productn","Course Total","","29","3.446","20.7","48.3","24.1","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"664
Classical Film Theory","001","","58","3.339","29.3","24.1","31.0","6.9","5.2",".",".",".",".",".",".",".",".","3.4",".","."
"667
Hist of Amer Public Address","001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"682
Senior Honors Thesis","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698
Directed Study","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","21","3.903","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","35","3.914","82.9","14.3","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Measurement in Communicatn Sci","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"902
Film Colloquium","001","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 182 of 396",""
