"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"201
Biomed Engineering Design","001","","39","3.513","35.9","30.8","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"301
Biomed Engineering Design","002","","31","3.516","29.0","45.2","25.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"310
Bioinstrumentation","001","","28","3.464","39.3","25.0","25.0","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"320
Intro Transport Phenomena","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"389","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","2","***","","","","","","","","","","","","","","","",""
"399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"402
Biomedical Engineering Design","001","","36","3.597","44.4","38.9","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","49","3.459","26.5","46.9","18.4","8.2",".",".",".",".",".",".",".",".",".",".",".","."
"461
Math&Comp Model-Physiol Sys","001","","7","3.500","28.6","28.6","28.6",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"505
Biofluidics","001","","24","3.521","20.8","62.5","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"515
Therapeutic Medical Devices","001","","22","3.429","27.3","31.8","31.8","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"530
Medical Imaging Systems","001","","17","3.656","52.9","17.6","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"560
Biochemical Engineering","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"575
Diagnos Ultrasound Physics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601
Special Topics-Biomed Engr","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"619
Microscopy of Life","001","","12","3.500","33.3","25.0","33.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"662
Dsgn & Hum Disablty & Aging","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"702
Grad Cooperative Educ Program","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"763
Computers in Medicine","001","","11","3.682","36.4","63.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 106 of 396",""
