"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
006","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-String","Course Total","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","272
101","8","2.875","25.0","12.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"","272
102","8","3.563","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
103","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","272
104","10","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","37","3.432","29.7","45.9","18.9","2.7",".",".","2.7",".",".",".",".",".",".",".",".","."
"Contemp Chamber Ensemble","273
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309
001","46","3.967","91.3","6.5",".",".",".",".",".","2.2",".",".",".",".",".",".",".","."
"Jazz Improvisation","332
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","340
005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pedagogy","Course Total","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-String Pedagogy","345
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Repertoire","004
346","6","3.500","33.3","50.0",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","361
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
003","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","361
004","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Non-Western Music Performnc","Course Total","35","4.000","97.1",".",".",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"","40
001","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","40
002","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","Course Total","105","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musical Cultures-World","402
001","20","3.200","30.0","15.0","30.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","41
001","118","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
002","114","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","41
003","92","3.995","97.8","1.1",".",".",".",".",".",".",".",".",".",".",".",".","1.1","."
"Bands","Course Total","324","3.998","99.4","0.3",".",".",".",".",".",".",".",".",".",".",".",".","0.3","."
"Survey Music-Renaissance","001
412","30","3.615","43.3","23.3","16.7","3.3",".",".",".","13.3",".",".",".",".",".",".",".","."
"Survey Music-20th C","416
001","27","3.140","11.1","37.0","25.9","11.1","3.7","3.7",".","7.4",".",".",".",".",".",".",".","."
"Varsity Band","42
001","219","3.989","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Collegium Musicum","461
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language Diction-Singing","468
001","6","3.583","50.0","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","497
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 259 of 396",""
