"","999
013","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
019","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
032","1","***","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","8","3.900","87.5",".",".",".","12.5",".",".",".","",".",".","",".","",".","",".",".",".","."
"DS
359","Dept. Total","843","3.338","34.4","25.6","24.4","6.5","4.5","2.0","0.6","1.8","",".",".","",".","",".","",".","0.1",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"359
DS","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","78","3.038","19.2","20.5","34.6","12.8","7.7","3.8","1.3",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","158","3.282","28.5","31.0","22.8","7.0","9.5","1.3",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","209","3.302","30.6","23.4","30.1","8.6","4.8","2.4",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","363","3.421","40.2","27.0","21.8","4.4","1.7","1.9","1.1","1.9","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","808","3.325","33.4","26.2","25.4","6.8","4.6","2.1","0.6","0.9","",".",".","",".","",".","",".",".",".","."
"Special","","4","4.000","75.0",".",".",".",".",".",".","25.0","",".",".","",".","",".","",".",".",".","."
"Graduate","","31","3.839","54.8","12.9","3.2",".","3.2",".",".","22.6","",".",".","",".","",".","",".","3.2",".","."
"","Dept. Total","843","3.338","34.4","25.6","24.4","6.5","4.5","2.0","0.6","1.8","",".",".","",".","",".","",".","0.1",".","."
