"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","160
001","23","3.348","43.5","26.1","17.4",".","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","002
160","21","3.429","33.3","33.3","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","160
003","24","3.604","66.7","12.5","4.2","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Architectural Graphics","Course Total","68","3.463","48.5","23.5","13.2","7.4","5.9",".","1.5",".",".",".",".",".",".",".",".","."
"","170
001","17","3.118","23.5","35.3","17.6","11.8","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"","170
002","21","3.571","23.8","66.7","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
003","20","3.737","50.0","40.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"Civil Engineering Graphics","Course Total","58","3.491","32.8","48.3","10.3","3.4","1.7",".","1.7",".",".",".",".",".",".","1.7",".","."
"Intro Engineering Graphics","001
231","150","3.180","22.0","31.3","22.7","11.3","11.3","1.3",".",".",".",".",".",".",".",".",".","."
"Geom Modeling-Engr Applcatn","232
001","93","3.113","23.7","25.8","20.4","20.4","4.3","5.4",".",".",".",".",".",".",".",".",".","."
"","240
001","35","2.871","22.9","5.7","28.6","14.3","25.7","2.9",".",".",".",".",".",".",".",".",".","."
"","002
240","47","3.011","31.9","10.6","17.0","21.3","12.8","6.4",".",".",".",".",".",".",".",".",".","."
"Dynamics","Course Total","82","2.951","28.0","8.5","22.0","18.3","18.3","4.9",".",".",".",".",".",".",".",".",".","."
"","291
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","291
050","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Mech Engr Project","Course Total","7","3.808","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
050","17","3.793","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","20","3.842","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","306
001","39","2.949","15.4","15.4","33.3","25.6","7.7",".","2.6",".",".",".",".",".",".",".",".","."
"","306
002","54","2.759","14.8","9.3","31.5","16.7","22.2","3.7","1.9",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","93","2.839","15.1","11.8","32.3","20.4","16.1","2.2","2.2",".",".",".",".",".",".",".",".","."
"","001
307","9","3.167","22.2","22.2","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","307
002","7","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
307","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","16","3.719","56.3","31.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
307","11","3.091","18.2","27.3","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","307
006","16","2.875","12.5","12.5","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".","."
"","007
307","11","2.636","18.2","27.3","9.1","9.1","18.2","9.1","9.1",".",".",".",".",".",".",".",".","."
"","008
307","15","3.700","73.3","6.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"","009
307","17","3.412","41.2","23.5","23.5",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","111","3.297","37.8","20.7","21.6","8.1","9.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"","313
001","46","3.185","19.6","34.8","23.9","15.2","4.3",".","2.2",".",".",".",".",".",".",".",".","."
"","002
313","46","3.130","19.6","26.1","28.3","17.4","6.5","2.2",".",".",".",".",".",".",".",".",".","."
"Manufacturing Processes","Course Total","92","3.158","19.6","30.4","26.1","16.3","5.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","001
314","44","2.943","15.9","11.4","31.8","27.3","13.6",".",".",".",".",".",".",".",".",".",".","."
"","314
002","37","2.676","2.7","16.2","40.5","10.8","21.6","8.1",".",".",".",".",".",".",".",".",".","."
"Intro-Competitv Manufactrng","Course Total","81","2.821","9.9","13.6","35.8","19.8","17.3","3.7",".",".",".",".",".",".",".",".",".","."
"","001
340","37","2.230","16.2","16.2","10.8","8.1","13.5","21.6","13.5",".",".",".",".",".",".",".",".","."
"","003
340","31","2.823","9.7","6.5","41.9","29.0","9.7","3.2",".",".",".",".",".",".",".",".",".","."
"Intro to Dynamic Systems","Course Total","68","2.500","13.2","11.8","25.0","17.6","11.8","13.2","7.4",".",".",".",".",".",".",".",".","."
