"L&S","","","","","","","","","","","","","","","","","","","","",""
"INTEGRATED LIBERAL STUDIES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"ILS
Dept. Total
500","916","3.340","24.0","25.8","20.7","6.9","2.0","0.2","1.2","2.3","0.2","16.2","",".","",".","",".","0.1","0.4","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","211","3.065","9.5","20.9","23.7","14.2","2.8","0.5","1.4","0.5",".","25.6","",".","",".","",".",".","0.9","."
"Sophomore","344","3.359","21.8","28.5","22.1","4.1","1.5","0.3","1.2",".",".","20.1","",".","",".","",".","0.3","0.3","."
"Junior","174","3.344","28.2","27.6","25.3","5.2","2.9",".","1.7",".",".","9.2","",".","",".","",".",".",".","."
"Senior","157","3.557","44.6","28.7","12.7","6.4","1.3",".","0.6","1.3",".","3.8","",".","",".","",".",".","0.6","."
"Undergraduates","886","3.334","24.2","26.5","21.4","7.1","2.0","0.2","1.2","0.3",".","16.4","",".","",".","",".","0.1","0.5","."
"Special","30","3.929","20.0","3.3",".",".",".",".",".","60.0","6.7","10.0","",".","",".","",".",".",".","."
"Dept. Total","916","3.340","24.0","25.8","20.7","6.9","2.0","0.2","1.2","2.3","0.2","16.2","",".","",".","",".","0.1","0.4","."
