"","775
021","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
023","2","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
026","3","***","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","27","",".",".",".",".",".",".","",".","100.0",".",".",".","",".","",".",".",".","."
"SURG SCI
938","Dept. Total","1081","3.344","29.0","9.3","15.1","4.0","4.0","0.1","",".","38.5",".",".",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","2","3.750","50.0","50.0",".",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Special","","3","2.667",".",".","33.3",".","33.3",".","",".","33.3",".",".",".","",".","",".",".",".","."
"Graduate","","2","3.667","50.0",".","50.0",".",".",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","40","4.000","17.5",".",".",".",".",".","",".","82.5",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","171","3.631","47.4","11.7","22.8","8.8","3.5",".","",".","5.8",".",".",".","",".","",".",".",".","."
"Prof Yr 3","","520","3.006","14.0","15.0","23.1","5.4","6.9","0.2","",".","35.4",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","343","3.971","44.0","0.6","0.6",".",".",".","",".","54.8",".",".",".","",".","",".",".",".","."
"Professionals","","1074","3.343","29.1","9.3","15.0","4.0","3.9","0.1","",".","38.6",".",".",".","",".","",".",".",".","."
"","Dept. Total","1081","3.344","29.0","9.3","15.1","4.0","4.0","0.1","",".","38.5",".",".",".","",".","",".",".",".","."
