"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"MED SC-M","","","","","","","","","","","","","","","","","","","","","",""
"Senior","5","",".",".",".",".",".","",".",".","80.0","",".",".","",".","",".",".",".","20.0","."
"Undergraduates","5","",".",".",".",".",".","",".",".","80.0","",".",".","",".","",".",".",".","20.0","."
"Special","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","337","3.740","57.3","22.3","6.5","0.6","0.3","",".",".","7.7","",".","4.2","",".","",".","1.2",".",".","."
"Prof Yr 2","1390","3.585","39.0","26.6","18.5","3.7","0.4","",".","0.1","11.4","",".","0.2","",".","",".","0.1",".","0.1","."
"Prof Yr 3","23","3.198","8.7","26.1","21.7","17.4",".","",".",".","26.1","",".",".","",".","",".",".",".",".","."
"Prof Yr 4","2","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Professionals","1752","3.630","42.1","25.7","16.2","3.3","0.3","",".","0.1","11.0","",".","1.0","",".","",".","0.3",".","0.1","."
