"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","153","2.827","20.9","11.1","26.1","7.8","30.1","2.0","2.0",".",".",".",".",".",".",".",".","."
"","100","002","168","2.806","23.2","7.1","23.2","10.7","29.8","1.8","2.4","1.2",".",".",".",".",".","0.6",".","."
"General Anthropology","","Course Total","321","2.816","22.1","9.0","24.6","9.3","29.9","1.9","2.2","0.6",".",".",".",".",".","0.3",".","."
"Archaeology & Prehist World","102","001","158","3.089","22.2","18.4","36.7","9.5","8.2","3.8","0.6","0.6",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","104","001","575","3.408","26.8","36.7","27.5","4.3","1.7","0.2","0.3","2.3",".",".",".",".","0.2",".",".","."
"Evolution of Human Species","107","001","169","2.756","16.6","12.4","27.8","16.0","16.6","7.7","2.4",".",".",".",".",".",".",".","0.6","."
"Principles of Archaeology","112","001","100","3.144","26.0","17.0","31.0","13.0","7.0","2.0","1.0","2.0",".",".",".",".",".",".","1.0","."
"Latin America-Introduction","260","001","25","2.897","20.0","8.0","28.0","20.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","15","2.250","6.7","6.7","20.0","6.7","26.7",".","13.3","20.0",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","44","3.023","27.3","9.1","36.4","4.5","20.5",".","2.3",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","20","3.000","25.0","15.0","40.0","5.0","5.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304","001","74","3.171","20.3","35.1","25.7","9.5","1.4","5.4","1.4",".",".",".",".",".",".","1.4",".","."
"Archaeological Chemistry","311","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indians of North America","314","001","16","3.192","18.8","31.3","18.8",".","6.3","6.3",".","12.5",".",".",".",".",".",".","6.3","."
"The Origins of Civilization","322","001","92","3.264","38.0","10.9","27.2","10.9","12.0",".",".","1.1",".",".",".",".",".",".",".","."
"Topics in Ethnology","330","001","25","3.848","68.0","20.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Intro-Prehistory&Archaeol Prin","338","001","19","3.000","26.3","10.5","10.5","21.1","21.1",".",".","10.5",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","20","3.250","35.0","20.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","25","2.400","12.0","12.0","8.0","12.0","44.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"Language and Culture","430","001","12","3.347","33.3","25.0","8.3","25.0",".",".",".","8.3",".",".",".",".",".",".",".","."
"American Indian Folklore","431","001","6","2.667",".","50.0","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Anthropology of Law","448","001","20","3.375","45.0","15.0","30.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","490","001","21","3.429","52.4","19.0","19.0",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","490","002","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","34","3.647","70.6","11.8","11.8",".","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","15","3.577","40.0","26.7","13.3","6.7",".",".",".",".",".",".",".",".",".","6.7","6.7","."
"Senior Honors Thesis","681","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","069","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Problems in Anthropology","690","001","15","3.673","86.7",".",".",".",".",".","6.7",".",".",".",".",".","6.7",".",".","."
"","692","044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","027","7","3.921","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","062","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 161 of 396",""
