"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"History of Landscape Arch","260","001","","59","2.855","13.6","18.6","13.6","28.8","15.3","3.4",".","6.8",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262","001","","46","3.098","37.0","13.0","17.4","15.2","10.9","4.3","2.2",".",".",".",".",".",".",".",".","."
"Independent Studies","299","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","312","001","","16","3.156","31.3","25.0","25.0","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","312","002","","19","3.605","52.6","21.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Graphics for Designers","","Course Total","","35","3.400","42.9","22.9","22.9","5.7","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Housing and Urban Design","351","001","","23","3.674","43.5","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Arch Technology I","353","001","","25","3.500","36.0","52.0","8.0",".",".",".","4.0",".",".",".",".",".",".",".",".","."
"Wetlands Ecology","361","001","","7","2.857","14.3","14.3","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".","."
"Open Space Planning&Design","451","001","","24","3.292","29.2","20.8","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"Evolution-American Planning","463","001","","20","3.225","10.0","35.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Project in Land Arc","551","001","","18","3.472","33.3","44.4","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"Remote Sensing Digitl Image","556","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Plant Commun Restoratn&Mgmt","651","001","","15","3.433","33.3","33.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","9","3.444","44.4","22.2","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methds-Hist/Cult Rsrce Pres","777","001","","12","3.545","41.7","25.0","16.7","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"Regional Design Workshop","920","001","","15","3.784","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","3","***","","","","","","","","","","","","","","","",""
