"ENGR PROFESSIONAL DEVELO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","","",""
"530","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Technical Japanese Smr","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"617
Communicating Technical Info","001","","30","4.000","96.7",".",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"630
Rsch-Japanese Technical Lit","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","001","","20","3.974","90.0","5.0",".",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"690","002","","33","3.971","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","005","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","038","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in E P D","Course Total","","70","3.931","87.1","11.4",".",".",".",".",".","1.4",".",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
