"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.136","31.8","22.7","18.2","13.6","9.1",".","4.5",".",".",".",".",".",".",".",".","."
"","101
002","21","3.333","23.8","19.0","38.1",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"","101
004","22","2.886","22.7","9.1","31.8","13.6","13.6","9.1",".",".",".",".",".",".",".",".",".","."
"","101
005","23","3.614","56.5","13.0","21.7",".","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","101
006","21","2.810","19.0","23.8","19.0","4.8","23.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"","101
007","20","3.475","35.0","35.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","101
008","20","2.700","15.0","20.0","25.0","10.0","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"","009
101","21","3.024","14.3","42.9","14.3","9.5","14.3",".","4.8",".",".",".",".",".",".",".",".","."
"","101
010","23","3.409","43.5","8.7","30.4","8.7","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"","101
012","20","3.000","30.0","15.0","30.0","5.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".","."
"","101
013","22","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","014
101","23","3.364","47.8","13.0","17.4","4.3","8.7","4.3",".","4.3",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","258","3.179","31.8","20.5","24.0","6.6","10.5","1.9","2.3","2.3",".",".",".",".",".",".",".","."
"","102
001","13","3.292","23.1","30.8","23.1","7.7","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"","002
102","16","3.406","56.3","6.3","31.3",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
004","19","3.206","31.6","15.8","31.6",".","5.3",".","5.3","10.5",".",".",".",".",".",".",".","."
"","102
005","20","3.350","35.0","25.0","25.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
006","18","3.444","44.4","22.2","16.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","102
008","23","3.432","43.5","8.7","30.4","13.0",".",".",".","4.3",".",".",".",".",".",".",".","."
"","102
009","17","3.088","29.4","11.8","29.4","5.9","23.5",".",".",".",".",".",".",".",".",".",".","."
"","102
010","18","3.389","27.8","44.4","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"","011
102","16","3.100","25.0","18.8","31.3",".","12.5","6.3",".","6.3",".",".",".",".",".",".",".","."
"","102
012","18","3.444","55.6","11.1","16.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".","."
"","102
013","19","3.211","15.8","31.6","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","102
014","14","3.107","21.4","21.4","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"","102
015","13","2.923","30.8","15.4","30.8",".","7.7","7.7","7.7",".",".",".",".",".",".",".",".","."
"","102
017","18","2.625","11.1","11.1","27.8","11.1","16.7","5.6","5.6","5.6",".",".",".",".",".",".","5.6","."
"","018
102","18","3.471","38.9","33.3","16.7",".",".","5.6",".","5.6",".",".",".",".",".",".",".","."
"First Year Spanish","Course Total","260","3.248","33.1","20.4","25.8","6.9","7.3","1.9","1.5","2.7",".",".",".",".",".",".","0.4","."
"","203
001","21","3.333","33.3","14.3","42.9","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","203
002","21","2.842",".","28.6","28.6","19.0","9.5","4.8",".","4.8",".",".",".",".",".","4.8",".","."
"","203
004","24","3.250","20.8","29.2","33.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","005
203","24","2.667","4.2","12.5","50.0","4.2","20.8","4.2","4.2",".",".",".",".",".",".",".",".","."
"","203
006","21","3.125","23.8","9.5","42.9","4.8","14.3",".",".",".",".",".",".",".",".","4.8",".","."
"","203
007","22","3.045","9.1","27.3","45.5",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","008
203","22","3.136","27.3","22.7","27.3","4.5","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","203
010","19","3.194","36.8","10.5","21.1","5.3","21.1",".",".",".",".",".",".",".",".",".","5.3","."
"","203
011","20","2.850","15.0","15.0","40.0","5.0","15.0","10.0",".",".",".",".",".",".",".",".",".","."
"","012
203","22","3.182","27.3","18.2","36.4","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"","203
013","17","2.853","5.9","17.6","47.1",".","29.4",".",".",".",".",".",".",".",".",".",".","."
"","203
014","22","3.452","45.5","4.5","36.4","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"","203
017","23","3.136","26.1","17.4","17.4","26.1","8.7",".",".","4.3",".",".",".",".",".",".",".","."
"","018
203","23","2.870","4.3","8.7","65.2",".","21.7",".",".",".",".",".",".",".",".",".",".","."
"","019
203","22","3.045","18.2","31.8","18.2","13.6","13.6","4.5",".",".",".",".",".",".",".",".",".","."
"","020
203","24","3.396","33.3","12.5","54.2",".",".",".",".",".",".",".",".",".",".",".",".","."
