"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Intro to Discrete Mathematics","240
001","48","2.396","22.9","4.2","25.0","8.3","10.4","16.7","12.5",".",".",".",".",".",".",".",".","."
"","302
001","48","2.573","12.5","20.8","20.8","10.4","18.8","8.3","8.3",".",".",".",".",".",".",".",".","."
"","302
002","48","2.674","16.7","16.7","16.7","12.5","18.8","12.5","2.1",".",".",".",".",".",".","4.2",".","."
"","302
003","17","2.969","5.9","41.2","17.6","23.5",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"","302
004","10","2.375",".","30.0","10.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".","20.0",".","."
"","006
302","19","3.053","52.6","10.5","10.5",".","10.5","5.3","10.5",".",".",".",".",".",".",".",".","."
"","302
007","16","2.719","18.8","18.8","25.0",".","18.8","18.8",".",".",".",".",".",".",".",".",".","."
"","302
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","302
010","12","2.455",".","41.7","8.3","8.3","8.3","16.7","8.3",".","8.3",".",".",".",".",".",".","."
"","012
302","12","2.542","25.0","8.3","33.3",".","8.3","8.3","16.7",".",".",".",".",".",".",".",".","."
"","302
015","17","2.531","11.8","29.4","5.9","23.5",".","11.8","11.8","5.9",".",".",".",".",".",".",".","."
"","018
302","15","2.267","13.3","6.7","20.0","6.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".","."
"","302
020","6","2.500",".","33.3","33.3",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"","302
021","8","3.125","25.0","25.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Programming","Course Total","231","2.663","16.5","21.6","17.3","10.8","13.9","10.0","6.9","0.9","0.4",".",".",".",".","1.7",".","."
"Prob Solvng Using Computers","310
001","224","3.125","22.3","16.1","40.6","13.4","4.9","1.8","0.9",".",".",".",".",".",".",".",".","."
"","352
001","17","2.588","5.9","29.4","23.5","17.6","5.9","5.9","11.8",".",".",".",".",".",".",".",".","."
"","002
352","36","2.833","13.9","11.1","36.1","22.2","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","53","2.755","11.3","17.0","32.1","20.8","7.5","7.5","3.8",".",".",".",".",".",".",".",".","."
"","354
001","30","2.883","20.0","20.0","13.3","23.3","16.7","6.7",".",".",".",".",".",".",".",".",".","."
"","354
002","41","2.866","22.0","17.1","19.5","24.4","9.8",".","7.3",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","71","2.873","21.1","18.3","16.9","23.9","12.7","2.8","4.2",".",".",".",".",".",".",".",".","."
"","367
002","42","3.000","31.0","14.3","9.5","23.8","11.9","7.1",".",".",".",".",".",".",".","2.4",".","."
"","003
367","46","2.674","15.2","10.9","26.1","15.2","23.9","4.3","4.3",".",".",".",".",".",".",".",".","."
"","004
367","37","2.833","18.9","5.4","32.4","16.2","21.6",".","2.7","2.7",".",".",".",".",".",".",".","."
"Intro to Data Structures","Course Total","125","2.829","21.6","10.4","22.4","18.4","19.2","4.0","2.4","0.8",".",".",".",".",".","0.8",".","."
"Learn New Programming Lang","368
001","56","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Tech:Computer-Based Bus Sys","371
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Numerical Methods","412
001","74","2.892","24.3","16.2","21.6","10.8","17.6","8.1","1.4",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425
001","14","3.429","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Cryptography","435
001","23","2.565","21.7",".","30.4","8.7","21.7","13.0","4.3",".",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Theoretical Comp Sci","520
001","39","3.064","38.5","5.1","23.1","12.8","12.8","7.7",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525
002","43","2.616","23.3","4.7","30.2","7.0","16.3","11.6","7.0",".",".",".",".",".",".",".",".","."
"Intro-Progm Langs&Compilers","536
001","37","2.878","21.6","27.0","21.6","8.1","8.1","5.4","8.1",".",".",".",".",".",".",".",".","."
"","537
001","54","3.316","38.9","24.1","14.8","13.0","5.6","3.7",".",".",".",".",".",".",".",".",".","."
"","537
002","41","3.422","41.5","24.4","19.5","7.3","7.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Operating Systems","Course Total","95","3.361","40.0","24.2","16.8","10.5","6.3","2.1",".",".",".",".",".",".",".",".",".","."
"Thry & Desgn-Progrmg Langs","001
538","32","3.484","46.9","21.9","15.6","12.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Artificl Intelligence","540
001","48","2.948","25.0","14.6","25.0","8.3","20.8","6.3",".",".",".",".",".",".",".",".",".","."
"","552
001","14","3.250","28.6","14.3","42.9","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","552
002","11","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","25","3.320","32.0","24.0","28.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
