"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","475","005","36","3.125","27.8","22.2","30.6","2.8","11.1","2.8","2.8",".",".",".",".",".",".",".",".","."
"","475","006","17","3.324","47.1","23.5","11.8","5.9","5.9",".","5.9",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","131","2.933","22.9","20.6","22.1","13.0","13.0","4.6","3.8",".",".",".",".",".",".",".",".","."
"","496","002","11","3.318","36.4","27.3","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","496","003","24","3.146","29.2","20.8","25.0","8.3","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","35","3.200","31.4","22.9","20.0","11.4","11.4","2.9",".",".",".",".",".",".",".",".",".","."
"Topics-Soc: Study Abroad","497","000A","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","530","001","36","3.286","22.2","30.6","33.3","8.3",".","2.8",".",".",".",".",".",".",".",".","2.8","."
"","530","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","37","3.280","21.6","29.7","35.1","8.1",".","2.7",".",".",".",".",".",".",".",".","2.7","."
"Hlth Care Iss:Ind, Fam, Soc","532","001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Survey Research","544","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Blacks in Cities","577","001","25","2.761","16.0","8.0","20.0","12.0","36.0",".",".","8.0",".",".",".",".",".",".",".","."
"Knowledge and Society","610","001","13","3.000","38.5","15.4","30.8",".",".",".","15.4",".",".",".",".",".",".",".",".","."
"Social Ecol of Amazon Basin","613","001","31","3.621","58.1","16.1","12.9","3.2",".","3.2",".","3.2",".",".",".",".",".","3.2",".","."
"Soc Structrs-Muslim Society","614","001","18","3.063","16.7","27.8","11.1","16.7","16.7",".",".",".",".",".",".",".",".","11.1",".","."
"Comparative Racial Inequality","620","001","22","3.420","31.8","50.0","4.5","9.1",".","4.5",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","23","3.065","30.4","21.7","26.1",".","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"Social Movements","626","001","38","3.412","26.3","31.6","23.7","5.3","2.6",".",".","5.3",".",".",".",".",".","5.3",".","."
"Soc:Devlp Societies/3rd Wld","630","001","19","3.735","78.9","5.3",".",".",".",".","5.3","5.3",".",".",".",".","5.3",".",".","."
"Sociology of Organizations","632","001","41","3.237","26.8","39.0","12.2","4.9","2.4","2.4","4.9","4.9",".",".",".",".",".",".",".","2.4"
"Social Stratification","633","001","24","3.261","25.0","37.5","20.8","4.2","4.2",".","4.2",".",".",".",".",".","4.2",".",".","."
"Sociology of Law","641","001","154","3.173","15.6","36.4","24.7","16.2","5.2","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"Sociology of Agriculture","650","001","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674","001","19","3.658","57.9","15.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"App Demogrphy-Amer Demgrphy","676","001","12","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","692","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","698","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","046","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","698","098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
