"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Research-Materials Chemistry","Course Total","17","",".",".",".",".",".",".",".","94.1",".",".",".","5.9",".",".",".","."
"CHEM
224","Dept. Total","4587","2.978","28.8","11.0","26.6","6.5","14.4","3.3","1.9","5.3",".","1.8",".","0.3","0.0","0.0","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","814","2.800","17.4","9.0","35.6","8.1","22.9","4.9","1.8",".",".",".",".",".","0.1",".","0.1","."
"Sophomore","","1383","2.975","29.2","8.5","31.4","5.7","18.3","4.4","2.3",".",".",".",".",".","0.1",".","0.1","."
"Junior","","1040","3.019","29.1","13.8","30.8","7.9","13.8","2.2","2.4",".",".",".",".",".",".",".","0.1","."
"Senior","","622","3.005","33.0","18.6","20.6","9.8","11.3","4.2","1.9","0.2",".","0.3",".",".",".","0.2",".","."
"Undergraduates","","3859","2.941","27.3","11.7","30.4","7.5","16.9","3.9","2.2","0.0",".","0.1",".",".","0.1","0.0","0.1","."
"Special","","51","3.019","33.3","11.8","17.6","9.8","15.7","3.9","2.0","5.9",".",".",".",".",".",".",".","."
"Graduate","","836","3.729","48.6","5.5","4.5","0.5",".",".","0.1","29.3",".","9.7",".","1.8",".",".",".","."
"Prof Yr 1","","1","1.000",".",".",".",".",".","100.0",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","4","3.500","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","5","2.458","40.0","20.0","20.0",".",".","20.0",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","4751","2.978","31.1","10.6","25.7","6.3","13.9","3.2","1.8","5.2",".","1.7",".","0.3","0.0","0.0","0.1","."
