"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"991","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Nutrition","Course Total","","37","",".",".",".",".",".",".",".","86.5",".",".",".","13.5",".",".",".","."
"993
Independent Study-Nutrition","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"NUTR SCI
694","Dept. Total","","1348","2.858","18.0","14.3","24.3","11.7","19.7","3.6","1.1","6.8",".",".",".","0.4",".","0.1",".","."
