"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","41","3.675","68.3","14.6","4.9",".","9.8",".",".",".",".",".",".",".",".","2.4",".","."
"","155
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
002","17","2.912","5.9","35.3","23.5","29.4",".",".","5.9",".",".",".",".",".",".",".",".","."
"","003
155","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
004","16","3.219","12.5","37.5","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
155","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","155
006","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
008","19","3.421","15.8","57.9","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","010
155","18","3.361","22.2","33.3","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","136","3.485","35.3","39.0","16.9","8.1",".",".","0.7",".",".",".",".",".",".",".",".","."
"Introduction to Engineering","160
001","46","3.500","26.1","58.7","10.9","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Teams & Engr Profession","265
001","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275
002","17","3.706","64.7","23.5","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","003
275","16","3.563","31.3","56.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
004","13","3.654","38.5","53.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","64","3.672","48.4","42.2","6.3","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"","332
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","332
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Basic Technical Japanese II","Course Total","9","2.800","11.1","22.2","11.1",".",".",".","11.1","22.2",".",".",".",".","22.2",".",".","."
"","375
001","10","3.650","30.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermed Tech Japanese II","Course Total","12","3.682","33.3","58.3",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Bus Japanese Communication","377
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"User Manuals/Software Docmt","392
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
001","20","3.450","25.0","40.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
002","22","3.386","31.8","18.2","45.5","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
003","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
004","19","3.474","42.1","21.1","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","397
005","22","3.750","59.1","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
397","22","3.841","77.3","13.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","397
007","20","3.550","45.0","35.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","397
008","18","3.000","27.8","16.7","27.8","5.6","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"","397
009","22","3.250","22.7","27.3","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","Course Total","185","3.489","42.2","26.5","23.8","4.3","2.2","1.1",".",".",".",".",".",".",".",".",".","."
"Tech Communications Intrshp","398
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Prob Solving with Comptrs","470
001","30","3.948","86.7","10.0",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Technical Editing","497
001","13","3.875","76.9","7.7","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Quality Engr & Quality Mgmnt","001
518","29","3.845","79.3","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr/Bus Data Communications","519
001","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 125 of 396",""
