"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","102
001","18","3.471","27.8","44.4","11.1","11.1",".",".",".","5.6",".",".",".",".",".",".",".","."
"","102
002","18","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
003","20","3.375","30.0","40.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","102
004","16","3.469","25.0","50.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
005","17","3.875","76.5","11.8","5.9",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","006
102","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","107","3.633","48.6","34.6","9.3","3.7","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"","104
001","20","3.500","25.0","55.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","18","3.444","16.7","66.7","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","104
003","11","3.273","9.1","54.5","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","004
104","12","3.583","33.3","58.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","16","3.438","43.8","18.8","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","77","3.455","26.0","50.6","15.6","3.9","3.9",".",".",".",".",".",".",".",".",".",".","."
"","112
001","17","3.571","23.5","47.1","11.8",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","112
002","20","3.579","40.0","30.0","25.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"","003
112","14","3.231","42.9","21.4","7.1","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".","."
"","004
112","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","15","3.192","26.7","26.7","13.3","6.7","6.7","6.7",".","13.3",".",".",".",".",".",".",".","."
"","006
112","16","3.500","31.3","43.8","6.3","12.5",".",".",".","6.3",".",".",".",".",".",".",".","."
"","007
112","17","3.382","35.3","23.5","29.4","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","112
008","19","3.500","36.8","26.3","36.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","135","3.461","34.8","32.6","19.3","3.7","2.2","0.7","0.7","5.9",".",".",".",".",".",".",".","."
"Current Directions in Art","208
001","143","3.643","61.5","23.8","7.0","2.8","2.8","1.4","0.7",".",".",".",".",".",".",".",".","."
"","212
001","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
212","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
212","21","3.595","33.3","52.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","21","3.667","57.1","28.6","9.5",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Drawing II","Course Total","65","3.608","47.7","33.8","13.8","1.5","3.1",".",".",".",".",".",".",".",".",".",".","."
"","214
001","13","3.577","15.4","84.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sculpture I","Course Total","26","3.596","19.2","80.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
222","18","3.667","38.9","55.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
222","17","3.563","35.3","35.3","23.5",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","222
003","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Painting","Course Total","52","3.725","55.8","30.8","11.5",".",".",".",".","1.9",".",".",".",".",".",".",".","."
"","224
001","17","3.676","47.1","47.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","224
002","19","3.684","42.1","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
224","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ceramics I","Course Total","54","3.769","59.3","37.0","1.9","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"","232
001","10","2.750",".","20.0","60.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","232
002","12","3.458","25.0","50.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
232","12","3.542","33.3","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Life Drawing I","Course Total","34","3.279","20.6","41.2","26.5","8.8",".",".","2.9",".",".",".",".",".",".",".",".","."
"Watercolor I","001
242","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
