"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"699","088","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","23","4.000","95.7",".",".",".",".",".",".",".",".",".",".","4.3",".",".",".","."
"716
Reform&Change-Curric&Instr","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Intro to Qualitative Research","001","","24","3.935","83.3","12.5",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"760
Sex/Gender-Related Iss in C&I","001","","12","3.864","83.3",".",".","8.3",".",".",".",".",".",".",".",".","8.3",".",".","."
"801
Interactv Media&Comp-Curric","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Prosmr-Amer Curric Theory","001","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"840
Fld-School Reading Programs","001","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"860","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"860","002","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"860","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Supervisn-Teacher Education","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"900
Smr-Educational Technology","001","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".",".","22.2",".",".","."
"910
Smr-Curriculum Development","001","","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"916
Spec Topics:Rsch&Eval-C&I","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Smr-Rsch on Math Education","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"947
Current Issues in Music Educ","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Pre&In-Service Ed-Teachers","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"955
Seminar in Moral Education","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Seminar-Science Education","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","003","","7","4.000","71.4",".",".",".",".",".",".","14.3",".",".",".",".","14.3",".",".","."
"975","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"975","005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"975","006","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"975","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Seminar","Course Total","","47","3.967","85.1","6.4",".",".",".",".",".","2.1",".",".",".",".","6.4",".",".","."
"976","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"976","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Reading","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"990","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","15","",".",".",".",".",".",".",".","53.3",".",".",".","46.7",".",".",".","."
"990","051","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
