"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"Alcohol: Behav, Culture & Sci","111
001","56","3.188","33.9","21.4","19.6","12.5","5.4","7.1",".",".",".",".",".",".",".",".",".","."
"Ways of Knowing Biology","151
001","57","",".",".",".",".",".",".",".",".",".","98.2","1.8",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","13","3.545","30.8","38.5","7.7","7.7",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"","250
001","13","3.700","69.2","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","7.7",".","."
"","002
250","9","3.957","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
003","17","3.974","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
004","17","3.974","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
250","14","3.962","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","15","3.775","66.7","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","13","3.773","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
009","12","3.850","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","128","3.888","83.6","10.9","3.9",".","0.8",".",".",".",".",".",".",".",".","0.8",".","."
"L&S Junior/Senior Seminar","400
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","701
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Grad Stdts in Teaching","Course Total","7","3.850","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
