"","990
013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","11","",".",".",".",".",".",".",".","81.8",".",".",".","18.2",".",".",".","."
"E ASIAN
295","Dept. Total","564","3.387","39.2","25.9","16.0","5.3","5.1","2.3","0.2","4.8",".",".",".","0.4","0.4",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","",""
"Freshmen","","56","3.138","26.8","26.8","23.2","7.1","12.5","3.6",".",".",".",".",".",".",".",".",".","."
"Sophomore","","131","3.368","35.1","31.3","19.1","5.3","6.1","1.5",".","1.5",".",".",".",".",".",".",".","."
"Junior","","117","3.372","40.2","23.9","20.5","5.1","4.3","3.4","0.9","1.7",".",".",".",".",".",".",".","."
"Senior","","186","3.374","38.7","26.9","15.1","7.0","4.8","2.7",".","4.8",".",".",".",".",".",".",".","."
"Undergraduates","","490","3.341","36.7","27.3","18.4","6.1","5.9","2.7","0.2","2.7",".",".",".",".",".",".",".","."
"Special","","9","3.875","33.3","11.1",".",".",".",".",".","33.3",".",".",".",".",".",".","22.2","."
"Graduate","","64","3.898","59.4","17.2",".",".",".",".",".","17.2",".",".",".","3.1","3.1",".",".","."
"Prof Yr 1","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"Professionals","","1","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","Dept. Total","564","3.387","39.2","25.9","16.0","5.3","5.1","2.3","0.2","4.8",".",".",".","0.4","0.4",".","0.5","."
