"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"","990
018","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Thesis-Research","Course Total","26","",".",".",".",".",".",".",".","100.0",".",".",".",".","",".",".",".","."
"CBE
220","Dept. Total","776","3.102","30.3","12.4","18.9","11.3","9.0","3.1","0.8","13.1",".","0.4",".","0.4","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","27","2.446","7.4","7.4","29.6","22.2","18.5","7.4","7.4",".",".",".",".",".","",".",".",".","."
"Junior","","135","2.852","21.5","14.8","28.1","10.4","16.3","7.4","1.5",".",".",".",".",".","",".",".",".","."
"Senior","","413","3.107","33.7","16.0","21.1","16.0","9.7","2.9","0.5","0.2",".",".",".",".","",".",".",".","."
"Undergraduates","","575","3.010","29.6","15.3","23.1","15.0","11.7","4.2","1.0","0.2",".",".",".",".","",".",".",".","."
"Special","","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","214","3.705","36.9","3.7","6.5","0.9","0.9",".",".","47.2",".","1.4",".","1.4","",".",".","0.9","."
"","Dept. Total","790","3.102","31.5","12.2","18.6","11.1","8.9","3.0","0.8","12.9",".","0.4",".","0.4","",".",".","0.3","."
