"COMMUNICATION ARTS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","",""
"","100
001","12","3.625","50.0","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","100
002","10","2.950","10.0","30.0","50.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
003","13","3.154",".","53.8","30.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
004","12","3.167","41.7","16.7","25.0",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","100
005","14","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","15","3.033","6.7","20.0","53.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","100
007","15","3.000",".","26.7","46.7","13.3","6.7",".",".",".",".",".",".",".",".","6.7",".","."
"","010
100","12","3.250","16.7","50.0","25.0",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","100
011","13","3.192","7.7","53.8","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
012","11","3.000","9.1","18.2","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","013
100","14","2.893","28.6","7.1","28.6","14.3","7.1","14.3",".",".",".",".",".",".",".",".",".","."
"","100
014","14","3.143","7.1","42.9","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
018","9","3.333",".","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
019","13","3.192","23.1","30.8","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100
020","13","3.346","7.7","61.5","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
021","12","3.583","25.0","66.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
022","10","3.550","40.0","40.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
023","13","3.269","15.4","53.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"","100
024","14","3.464","21.4","57.1","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","100
026","12","3.542","25.0","58.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","027
100","14","3.321","14.3","50.0","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
028","16","3.406","25.0","37.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","029
100","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
030","13","2.885","15.4","15.4","46.2","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","100
034","14","2.679","7.1","21.4","35.7","14.3","7.1","7.1","7.1",".",".",".",".",".",".",".",".","."
"","100
035","10","3.400","20.0","60.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
040","10","3.500","30.0","60.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","100
041","12","3.167",".","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
042","10","3.200","30.0","20.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","043
100","9","3.278","22.2","44.4","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","100
044","13","3.154","15.4","30.8","46.2",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","100
045","14","2.964",".","42.9","42.9","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
046","10","3.250","10.0","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","100
047","13","3.538","30.8","53.8","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
048","10","3.100",".","80.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","100
049","12","3.417","41.7","25.0","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","Course Total","444","3.248","19.4","40.1","25.5","8.1","4.3","1.1","1.4",".",".",".",".",".",".","0.2",".","."
"","105
001","15","2.967","20.0","33.3","26.7",".","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","105
002","14","3.179","7.1","50.0","21.4","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"","105
003","17","3.357","23.5","11.8","47.1",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"","105
004","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","105
005","15","3.357","20.0","33.3","33.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"","105
006","14","3.462","28.6","42.9","14.3",".","7.1",".",".","7.1",".",".",".",".",".",".",".","."
"Public Speaking","Course Total","89","3.321","24.7","32.6","28.1","3.4","3.4","1.1","1.1","5.6",".",".",".",".",".",".",".","."
"","236
001","16","3.063","25.0","25.0","18.8","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"","236
002","15","3.033","20.0","20.0","33.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 180 of 396",""
