"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","40","3.641","62.5","15.0","15.0",".","2.5","2.5",".","2.5",".",".",".",".",".",".",".","."
"","105
001","10","3.700","70.0","20.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","105
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","11","3.750","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","56","3.778","75.0","1.8","17.9","1.8",".",".",".","3.6",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534
001","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537
001","17","3.588","52.9","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544
001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545
001","17","3.706","41.2","58.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636
001","17","3.618","35.3","52.9","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640
001","17","3.324","17.6","41.2","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Special Topics","775
001","8","3.571","37.5","25.0","25.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Research and Thesis","791
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","255","3.661","62.0","20.4","12.2","2.0","0.8","0.4",".","2.4",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","13","3.607","53.8","7.7","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","27","3.795","77.8","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Senior","","191","3.638","59.7","22.5","12.6","2.6","0.5","0.5",".","1.6",".",".",".",".",".",".",".","."
"Undergraduates","","250","3.661","62.8","20.4","12.4","2.0","0.8","0.4",".","1.2",".",".",".",".",".",".",".","."
"Special","","2","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Graduate","","3","3.500",".","33.3",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"","Dept. Total","255","3.661","62.0","20.4","12.2","2.0","0.8","0.4",".","2.4",".",".",".",".",".",".",".","."
