"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","325","2.780","15.4","10.2","25.2","18.5","28.9","1.2","0.6",".",".",".",".",".",".",".",".","."
"","104","001","287","2.859","19.9","16.7","17.4","17.8","23.0","5.2",".",".",".",".",".",".",".",".",".","."
"","104","002","138","2.580","13.0","15.9","15.2","15.9","26.8","10.9","2.2",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","425","2.768","17.6","16.5","16.7","17.2","24.2","7.1","0.7",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","99","3.240","20.2","29.3","31.3","16.2","1.0","1.0",".",".",".",".",".",".",".","1.0",".","."
"","109","001","92","3.060","23.9","20.7","18.5","21.7","10.9","3.3",".","1.1",".",".",".",".",".",".",".","."
"","109","002","69","3.081","24.6","17.4","27.5","15.9","8.7","4.3",".","1.4",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","161","3.069","24.2","19.3","22.4","19.3","9.9","3.7",".","1.2",".",".",".",".",".",".",".","."
"Energy","115","001","26","3.481","38.5","19.2","42.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201","001","173","3.067","13.3","30.1","30.1","14.5","8.1","2.3","0.6",".",".",".",".",".",".","0.6",".","0.6"
"","201","002","110","2.908","11.8","19.1","34.5","19.1","10.0","2.7","1.8",".",".",".",".",".",".",".",".","0.9"
"General Physics","","Course Total","283","3.005","12.7","25.8","31.8","16.3","8.8","2.5","1.1",".",".",".",".",".",".","0.4",".","0.7"
"","202","001","176","2.957","14.8","18.2","29.0","22.2","13.6","1.7",".",".",".",".",".",".","0.6",".",".","."
"","202","002","162","2.824","11.7","14.8","30.2","24.1","15.4","1.9","1.9",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","338","2.893","13.3","16.6","29.6","23.1","14.5","1.8","0.9",".",".",".",".",".","0.3",".",".","."
"Mod Physics for Engineers","205","001","40","3.038","22.5","15.0","32.5","2.5","25.0",".",".",".",".",".",".",".",".","2.5",".","."
"General Physics","207","001","162","2.941","16.7","13.6","37.7","16.7","11.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"General Physics","208","001","204","3.108","17.6","25.0","36.8","11.3","5.9","2.5","1.0",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","42","2.726","4.8","21.4","21.4","23.8","26.2","2.4",".",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","73","2.889","21.9","12.3","23.3","15.1","21.9","2.7","1.4","1.4",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248","001","46","3.315","39.1","17.4","26.1","6.5","8.7","2.2",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Physics","265","001","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","299","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","075","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Physics Today","301","001","18","3.611","61.1","33.3",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","308","001","11","3.409","18.2","45.5","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","002","11","3.273","18.2","72.7",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"","308","003","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","30","3.417","26.7","50.0","20.0",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","43","2.965","23.3","16.3","20.9","23.3","9.3","7.0",".",".",".",".",".",".",".",".",".","."
"Electromagnetic Fields","322","001","22","2.886","18.2","22.7","27.3","9.1","9.1","13.6",".",".",".",".",".",".",".",".",".","."
"Wave Motion and Optics","325","001","18","3.412","27.8","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".","5.6",".","."
"Acoustics for Musicians","371","001","16","3.406","25.0","31.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","7","3.625","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","28","2.889","28.6","21.4","10.7","14.3","7.1","7.1","7.1",".",".",".",".",".",".","3.6",".","."
"Atomic and Quantum Physics","449","001","26","3.423","42.3","19.2","19.2","19.2",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","499","080","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","17","3.088","29.4","17.6","11.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics","551","001","11","3.727","72.7","18.2",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Charged Particl Acceleratrs","561","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 272 of 396",""
