"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"707
Production Medicine IV","001","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"775","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
