"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","",""
"","200
001","162","3.019","23.5","13.6","25.9","12.3","22.2",".",".","2.5",".",".",".",".",".",".",".","."
"","200
002","88","3.076","21.6","21.6","29.5","6.8","15.9","1.1","1.1","2.3",".",".",".",".",".",".",".","."
"International Business","Course Total","250","3.039","22.8","16.4","27.2","10.4","20.0","0.4","0.4","2.4",".",".",".",".",".",".",".","."
"","365
000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
001","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","20","3.795","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
091","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
222","41","3.978","95.1",".","2.4",".",".",".",".",".",".",".",".",".",".","2.4",".","."
"Reading & Research-Intl Bus","Course Total","43","3.980","95.3",".","2.3",".",".",".",".",".",".",".",".",".",".","2.3",".","."
"Global Issues in Management","403
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Business in Emerging Markets","615
001","32","3.828","68.8","28.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","720
001","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"International Real Estate","730
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Multinational Bus Finance","745
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Operations: Probs&Adm","755
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"INTL BUS
235","Dept. Total","364","3.218","39.3","16.5","20.9","7.1","13.7","0.3","0.3","1.6",".",".",".",".",".","0.3",".","."
