"AGRICULTURAL AND APPLIED E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","",""
"","215","001","","82","3.110","25.6","15.9","39.0","6.1","8.5","3.7","1.2",".",".",".",".",".",".",".",".","."
"","215","002","","125","2.904","17.6","15.2","29.6","21.6","10.4","3.2","2.4",".",".",".",".",".",".",".",".","."
"Intro to Agr & Applied Econ","","Course Total","","207","2.986","20.8","15.5","33.3","15.5","9.7","3.4","1.9",".",".",".",".",".",".",".",".","."
"","299","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","064","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"The Real Estate Process","306","001","","6","2.583",".","33.3",".","50.0",".","16.7",".",".",".",".",".",".",".",".",".","."
"Commodity Markets","322","001","","53","2.528","5.7","13.2","20.8","32.1","18.9","3.8","5.7",".",".",".",".",".",".",".",".","."
"Agric & Natrl Resources Law","336","001","","40","2.838","12.5","20.0","20.0","32.5","7.5","7.5",".",".",".",".",".",".",".",".",".","."
"Issues in Food Systems","340","001","","11","3.364","36.4","18.2","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Environment&Global Economy","344","001","","33","2.803","18.2","21.2","18.2","18.2","15.2","3.0","6.1",".",".",".",".",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","17","3.176","23.5","23.5","23.5","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Analysis-Agric Markets","421","001","","18","3.056","33.3","22.2","27.8",".","5.6",".","11.1",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","17","2.912","41.2","5.9","23.5",".","11.8","11.8","5.9",".",".",".",".",".",".",".",".","."
"Senior Capstone Experience","500","001","","20","3.800","80.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Community Economic Analysis","520","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pub Finance-Less Dev Cntry","567","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","002","","15","3.893","73.3","20.0",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","19","3.778","57.9","31.6","5.3",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Applied Econometric Anal","636","001","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Energy Economics","671","001","","8","3.357","25.0","12.5","50.0",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","064","","9","3.333","66.7","11.1",".","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","24","3.602","70.8","8.3","8.3","4.2","4.2",".","4.2",".",".",".",".",".",".",".",".","."
"Applied Microeconomics","705","001","","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","16","3.821","56.3","31.3",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Macroeconomics-Ag Developmt","731","001","","12","3.636","41.7","33.3","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Dynnamc Natrl Resource Econ","760","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Welfr Thry&Beneft-Cost Anal","761","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
