"INDUSTRIAL & SYSTEMS ENGR","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","","33","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","","91","3.637","62.6","16.5","11.0","5.5","4.4",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","","58","3.693","50.0","36.2","12.1",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","","29","3.172","17.2","34.5","24.1","13.8","10.3",".",".",".",".",".",".",".",".",".",".","."
"","321","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321","003","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","","29","3.948","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","","51","3.608","41.2","45.1","7.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","","38","3.355","15.8","44.7","34.2","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Combinatrl Optimizatn","425","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Industrial Engr Projects","476","001","","33","3.879","81.8","12.1","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","","32","3.563","50.0","18.8","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Decision Analysis","516","001","","31","3.177","35.5","32.3","12.9","3.2","3.2","9.7","3.2",".",".",".",".",".",".",".",".","."
"Quality Assurance Systems","520","001","","40","3.625","45.0","37.5","15.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Programming Methods","525","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Occupatnl Safty&Health Engr","556","001","","43","3.209","32.6","18.6","30.2","9.3","2.3","7.0",".",".",".",".",".",".",".",".",".","."
"Dsgn-Program Evaluation Sys","610","001","","10","3.750","70.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Information Systems","617","001","","24","3.521","41.7","37.5","4.2","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling & Analysis","620","001","","17","3.294","23.5","23.5","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","","22","3.409","22.7","50.0","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"Discrete Event Simulation","625","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","001","","36","3.917","86.1","11.1","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Performnc Anal-Manufact Sys","643","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dsgn & Hum Disablty & Aging","662","001","","27","3.796","81.5","11.1","3.7",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"E-Business Transformation","672","001","","32","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","002","","23","3.848","69.6","30.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","004","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","691","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","","46","3.852","71.7","21.7",".","2.2",".",".",".","4.3",".",".",".",".",".",".",".","."
"","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
