"292
DY SCI","","","","","","","","","","","","","","","","","","","","",""
"","990
032","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
036","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","31","",".",".",".",".",".",".","",".","87.1",".",".",".","12.9","",".",".",".","."
"DY SCI
292","Dept. Total","257","3.283","37.4","9.7","14.4","5.8","8.9","2.3","",".","19.8",".",".",".","1.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.808","76.9","7.7","15.4",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","26","3.183","30.8","23.1","26.9","15.4","3.8",".","",".",".",".",".",".",".","",".",".",".","."
"Junior","","73","3.057","27.4","17.8","23.3","8.2","20.5","2.7","",".",".",".",".",".",".","",".",".",".","."
"Senior","","50","3.222","48.0",".","22.0","8.0","14.0","8.0","",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","162","3.182","38.3","12.3","22.8","8.6","14.2","3.7","",".",".",".",".",".",".","",".",".",".","."
"Special","","2","4.000","100.0",".",".",".",".",".","",".",".",".",".",".",".","",".",".",".","."
"Graduate","","94","3.875","35.1","5.3",".","1.1",".",".","",".","54.3",".",".",".","4.3","",".",".",".","."
"","Dept. Total","258","3.283","37.6","9.7","14.3","5.8","8.9","2.3","",".","19.8",".",".",".","1.6","",".",".",".","."
