"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Independent Study","Course Total","","13","3.880","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"412","001","","37","2.892","37.8",".","27.0",".","24.3","8.1","2.7",".",".",".",".",".",".",".",".","."
"412","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"412","003","","8","3.625","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"412","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Power Electronic Circuits","Course Total","","48","3.042","41.7",".","31.3",".","18.8","6.3","2.1",".",".",".",".",".",".",".",".","."
"420
Electromag Wave Transmissn","001","","52","2.885","19.2","7.7","34.6","15.4","21.2",".","1.9",".",".",".",".",".",".",".",".","."
"434
Photonics","001","","25","3.146","36.0","8.0","24.0","12.0","12.0","4.0",".",".",".",".",".",".",".","4.0",".","."
"435
Introduction to Cryptography","001","","19","2.342",".","10.5","36.8","5.3","31.6","10.5","5.3",".",".",".",".",".",".",".",".","."
"437
Communication Systems II","001","","13","3.577","30.8","53.8","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Microwave-Devices&Applicatn","001","","9","2.667","22.2","22.2","11.1",".","33.3",".","11.1",".",".",".",".",".",".",".",".","."
"453
Embedded Microproc System Dsgn","001","","33","3.333","27.3","33.3","21.2","15.2","3.0",".",".",".",".",".",".",".",".",".",".","."
"461
Math&Comp Model-Physiol Sys","001","","20","3.132","5.0","45.0","40.0",".",".",".","5.0",".",".",".",".",".",".","5.0",".","."
"466
Electronics of Solids","001","","11","3.800","72.7",".","18.2",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"489","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"489","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","7","3.941","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"491","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"491","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","Course Total","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"504
Elec Mach&Drive Systm Lab","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"511","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"511","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"511","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Synchronous Machines","Course Total","","7","3.600","57.1",".",".",".","14.3",".",".",".",".",".",".",".","28.6",".",".","."
"525
Introduction to Plasmas","001","","11","3.227","54.5","9.1","18.2",".","9.1",".","9.1",".",".",".",".",".",".",".",".","."
"531
Speech Signal Processing","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"537
Communication Networks","001","","27","3.615","40.7","37.0","18.5",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"539","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"539","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Artificl Neural Ntwrk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"544
Processing-Electronic Matls","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"549
IC Fabrication Lab","001","","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"551
Digital Sys Design & Synthesis","001","","54","3.075","29.6","14.8","22.2","18.5","7.4","3.7","1.9",".",".",".",".",".",".",".","1.9","."
"552","001","","27","3.500","40.7","25.9","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"552","002","","12","3.083","8.3","41.7","25.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","Course Total","","39","3.372","30.8","30.8","25.6","7.7","5.1",".",".",".",".",".",".",".",".",".",".","."
