"LAW","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","",""
"Constitutional Law I","","Course Total","136","3.547","42.6","19.1","34.6",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Real Estate Transactions I","732","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Trusts and Estates","733","001","145","3.292","36.6","6.9","16.6","2.8","1.4","9.0",".","26.9",".",".",".",".",".",".",".","."
"Secured Transactions","736","001","44","3.697","52.3","15.9","18.2",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"Constitutional Law II","740","001","144","3.550","35.4","20.1","27.1",".",".",".",".","17.4",".",".",".",".",".",".",".","."
"Bus Orgnztions II:Publ Corp","741","001","60","3.508","40.0","23.3","35.0","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Taxation I","742","001","30","3.595","46.7","3.3","13.3",".","3.3","3.3",".","30.0",".",".",".",".",".",".",".","."
"","743","001","23","3.587","47.8","39.1","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","743","002","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Negotiations","","Course Total","37","3.662","54.1","35.1","8.1",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Administrative Law","744","001","39","3.379","20.5","17.9","33.3","2.6",".",".",".","25.6",".",".",".",".",".",".",".","."
"Legislation","746","001","56","3.681","46.4","21.4","16.1",".",".",".",".","16.1",".",".",".",".",".",".",".","."
"Trademarks","749","001","32","3.419","46.9","12.5","31.3",".",".","3.1","3.1","3.1",".",".",".",".",".",".",".","."
"Patent Law","751","001","34","3.563","44.1","20.6","26.5","2.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"Intro-Intellectual Proprty Law","753","001","35","3.581","48.6","5.7","34.3",".",".",".",".","11.4",".",".",".",".",".",".",".","."
"Equal Employment Law","765","001","30","3.519","36.7","23.3","26.7","3.3",".",".",".","10.0",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772","001","15","3.600","60.0",".","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law and the Elderly","773","001","16","3.531","50.0","12.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","801","001","38","3.500","34.2","13.2","28.9","2.6",".",".",".","21.1",".",".",".",".",".",".",".","."
"","801","002","24","3.667","50.0","16.7","20.8",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Evidence","","Course Total","62","3.569","40.3","14.5","25.8","1.6",".",".",".","17.7",".",".",".",".",".",".",".","."
"","802","001","50","3.540","48.0","12.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","802","002","89","3.635","36.0","19.1","14.6","1.1",".",".",".","29.2",".",".",".",".",".",".",".","."
"Civil Procedure II","","Course Total","139","3.593","40.3","16.5","23.7","0.7",".",".",".","18.7",".",".",".",".",".",".",".","."
"","808","001","14","3.846","71.4","14.3","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","808","002","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","22","3.881","77.3","13.6","4.5",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","815","001","31","3.967","96.8",".","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","002","20","4.000","5.0",".",".",".",".",".",".","95.0",".",".",".",".",".",".",".","."
"","815","003","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","815","004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","815","005","13","3.542","38.5","23.1","30.8",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Appellate Advocacy II","","Course Total","78","3.880","62.8","3.8","6.4",".",".",".",".","25.6",".",".",".",".","1.3",".",".","."
"Business Organizations I","817","001","76","3.507","42.1","19.7","35.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Bankruptcy Law","821","001","29","3.696","55.2","24.1","17.2",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Family Law I","822","001","44","3.500","34.1","20.5","25.0","4.5",".",".",".","15.9",".",".",".",".",".",".",".","."
"Family Law II","823","001","18","3.667","61.1","11.1","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824","001","16","3.500","43.8","18.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Insurance Law","825","001","27","3.475","25.9","18.5","29.6",".",".",".",".","25.9",".",".",".",".",".",".",".","."
"Regulated Industries","837","001","7","3.917","71.4","14.3",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Remedies","839","001","42","3.650","28.6","4.8","14.3",".",".",".",".","52.4",".",".",".",".",".",".",".","."
"Taxation II","840","001","37","3.426","43.2","10.8","29.7","2.7",".","5.4",".","8.1",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 322 of 396",""
