"MATERIALS SCI AND ENGINEERI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"636
M S & E","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Education Prog","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"250
Intro to Modern Materials","001","","17","3.588","76.5",".","17.6",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"330
Thermodynamics of Materials","001","","25","3.240","28.0","20.0","32.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"331
Transport Phenom-Materials","001","","21","3.167","14.3","38.1","23.8","14.3","9.5",".",".",".",".",".",".",".",".",".",".","."
"333
Microprocessing-Materials","001","","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"350
Intro to Materials Science","001","","103","3.248","26.2","20.4","38.8","7.8","5.8","1.0",".",".",".",".",".",".",".",".",".","."
"352
Transformation of Solids","001","","23","2.870","21.7","13.0","30.4","13.0","13.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"360","001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"360","002","","6","3.333","16.7","50.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Laboratory I","Course Total","","12","3.417","16.7","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"361
Materials Laboratory II","001","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"371
Mat Sci&Engr Prob Solvng II","001","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Materials Sys&Design Proj I","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"390
Materials Sys&Desgn Proj II","001","","8","3.286","50.0","25.0",".",".",".",".","12.5",".",".",".",".",".","12.5",".",".","."
"401
Special Topics in Mat Sci&Engr","001","","35","3.681","45.7","45.7","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"433
Principles of Corrosion","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"441
Deformation of Solids","001","","19","3.833","63.2","31.6",".",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"445
Multicomponent Phase Equil","001","","9","3.444","33.3","33.3","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"544
Processing-Electronic Matls","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"748
Structural Anal of Matrial","001","","14","3.179","14.3","35.7","28.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"758
Trans Electron Microscopy Lab","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"770
Surf&Interface Characterztn","001","","21","3.941","71.4","9.5",".",".",".",".",".",".",".",".",".",".","19.0",".",".","."
"790","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","17","",".",".",".",".",".",".",".","82.4",".",".",".","17.6",".",".",".","."
"803","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"803","003","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"803","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"803","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"803","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 137 of 396",""
