"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","",""
"","102
001","","23","3.239","43.5","13.0","17.4","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"","002
102","","12","3.375","66.7",".","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","102
003","","20","2.850","30.0",".","30.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","004
102","","23","3.239","43.5","17.4","13.0","4.3","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"2nd Semester Portuguese","Course Total","","78","3.160","43.6","9.0","17.9","7.7","15.4","6.4",".",".",".",".",".",".",".",".",".","."
"","001
202","","12","3.292","50.0","16.7","8.3","8.3","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","202
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"4th Semester Portuguese","Course Total","","15","3.433","60.0","13.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intensive Portuguese","301
001","","19","3.583","52.6","15.8","21.1",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"4th Yr Compositn & Conversatn","312
001","","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brazilian Civilization","362
001","","18","3.830","61.1","33.3",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Survey-Brazil Lit pre 1890","412
001","","8","3.375","25.0","37.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Portug: Study Abroad","599
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Portuguese Literature","772
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","990
032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PORTUG
782","Dept. Total","","170","3.403","51.8","16.5","12.4","5.3","8.2","3.5",".","1.8","0.6",".",".",".",".",".",".","."
