"MECHANICAL ENGINEERING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","",""
"","342
001","39","2.885","12.8","25.6","7.7","33.3","20.5",".",".",".",".",".",".",".",".",".",".","."
"","342
002","40","2.888","15.0","22.5","20.0","25.0","10.0","7.5",".",".",".",".",".",".",".",".",".","."
"Design of Machine Elements","Course Total","79","2.886","13.9","24.1","13.9","29.1","15.2","3.8",".",".",".",".",".",".",".",".",".","."
"","349
001","15","3.233","26.7","20.0","40.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"","349
002","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
349","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
004","18","3.194",".","66.7","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"","005
349","17","3.529","35.3","35.3","29.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","349
006","17","3.412","17.6","52.9","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Design Projects","Course Total","101","3.485","33.7","39.6","20.8","2.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Advanced Graphic Analysis","350
001","21","3.643","28.6","71.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","361
001","57","2.439","8.8","7.0","29.8","10.5","29.8","8.8","5.3",".",".",".",".",".",".",".",".","."
"","361
002","60","2.800","26.7","11.7","15.0","18.3","15.0","11.7","1.7",".",".",".",".",".",".",".",".","."
"Thermodynamics","Course Total","117","2.624","17.9","9.4","22.2","14.5","22.2","10.3","3.4",".",".",".",".",".",".",".",".","."
"","363
001","51","2.922","2.0","37.3","31.4","13.7","11.8","2.0","2.0",".",".",".",".",".",".",".",".","."
"","002
363","53","2.933","11.3","22.6","26.4","20.8","15.1","1.9",".","1.9",".",".",".",".",".",".",".","."
"Fluid Dynamics","Course Total","104","2.927","6.7","29.8","28.8","17.3","13.5","1.9","1.0","1.0",".",".",".",".",".",".",".","."
"","364
001","51","3.000","25.5","7.8","37.3","11.8","9.8","3.9","2.0","2.0",".",".",".",".",".",".",".","."
"","002
364","43","2.860","16.3","9.3","25.6","27.9","20.9",".",".",".",".",".",".",".",".",".",".","."
"Elementary Heat Transfer","Course Total","94","2.935","21.3","8.5","31.9","19.1","14.9","2.1","1.1","1.1",".",".",".",".",".",".",".","."
"Engr Measurements Lab","368
001","66","2.864","12.1","10.6","27.3","37.9","12.1",".",".",".",".",".",".",".",".",".",".","."
"Energy Systems Laboratory","370
001","93","2.812","14.0","10.8","28.0","18.3","29.0",".",".",".",".",".",".",".",".",".",".","."
"Mechanical Dissection","379
001","9","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","417
001","13","3.385","23.1","61.5","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","417
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","417
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Polymer Processing","Course Total","16","3.469","31.3","56.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","418
001","40","3.463","32.5","35.0","25.0","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"","418
002","37","3.270","32.4","16.2","29.7","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"","418
004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Engr Design with Polymers","Course Total","82","3.354","30.5","25.6","30.5","11.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"","419
001","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","419
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundamentals-Injection Molding","Course Total","22","3.786","59.1","31.8","4.5",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Stat Expermntl Design-Engrs","001
424","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","447
001","12","3.042","25.0","25.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"","447
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","447
004","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"","447
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","447
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Comptr Cntrl-Machns&Process","Course Total","23","3.065","39.1","17.4","13.0","4.3","17.4","4.3","4.3",".",".",".",".",".",".",".",".","."
