"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","111","3.305","24.3","29.7","32.4","7.2","5.4",".",".","0.9",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","113","3.584","54.9","20.4","17.7","4.4","1.8",".","0.9",".",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","392","3.480","37.5","34.2","16.6","5.9","2.3","0.5","0.5","2.6",".",".",".",".",".",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200","001","95","3.181","20.0","42.1","15.8","7.4","5.3","1.1","4.2","3.2",".",".",".",".","1.1",".",".","."
"Gender & Work-Rural America","215","001","17","2.594","5.9","11.8","23.5","17.6","29.4","5.9",".","5.9",".",".",".",".",".",".",".","."
"Women in Literature","250","001","8","3.571","25.0","50.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","299","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","125","9","3.667","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.714","80.0",".","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics - Women & Society","320","001","14","2.964","21.4","21.4","21.4",".","35.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","340","001","22","3.705","68.2","18.2","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"Gendr&Sexualty-Classcl Wrld","351","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women&Gender in US Since 1870","354","001","24","3.388","37.5","25.0","16.7",".","12.5",".",".","4.2",".",".",".",".",".","4.2",".","."
"Women in Medieval Society","416","001","38","3.605","50.0","23.7","23.7","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","42","3.583","38.1","50.0","4.8","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","33","3.226","21.2","30.3","21.2","12.1","9.1",".",".","6.1",".",".",".",".",".",".",".","."
"Childbirth in the US","431","001","26","3.596","34.6","53.8","7.7","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","32","3.548","53.1","9.4","25.0","9.4",".",".",".",".",".",".",".",".",".",".","3.1","."
"Gender and Education","560","001","13","3.269","30.8","23.1","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","33","3.844","66.7","30.3",".",".",".",".",".",".",".",".",".",".","3.0",".",".","."
"Internship-Women's Studies","660","001","18","3.833","83.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","026","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","121","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","122","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","125","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","18","3.878","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
