"","967
006","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
007","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","967
046","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Urology Clerkship-CSC","Course Total","7","3.875","71.4","28.6",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"SURGERY
936","Dept. Total","187","3.488","33.7","34.2","23.0",".","",".","",".","",".","8.6","0.5",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Junior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Senior","","3","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","5","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","2","3.250",".","50.0","50.0",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","87","3.429","29.9","31.0","36.8",".","",".","",".","",".","1.1","1.1",".","",".","",".","",".",".",".","."
"Prof Yr 4","","93","3.618","34.4","38.7","10.8",".","",".","",".","",".","16.1",".",".","",".","",".","",".",".",".","."
"Professionals","","182","3.478","31.9","35.2","23.6",".","",".","",".","",".","8.8","0.5",".","",".","",".","",".",".",".","."
"","Dept. Total","187","3.488","33.7","34.2","23.0",".","",".","",".","",".","8.6","0.5",".","",".","",".","",".",".",".","."
