"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"Intro-Random Sig Anal&Stats","331
001","","57","3.140","26.3","10.5","47.4","3.5","10.5",".","1.8",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","","51","2.598","11.8","5.9","29.4","23.5","19.6","5.9","3.9",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","","67","3.227","38.8","11.9","22.4","9.0","14.9","1.5",".","1.5",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","","81","3.025","14.8","25.9","29.6","11.1","14.8","2.5",".","1.2",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","","70","3.357","57.1",".","27.1",".","11.4","2.9","1.4",".",".",".",".",".",".",".",".","."
"Semiconductr Physics&Device","345
001","","14","3.000","14.3","35.7","21.4","7.1","14.3","7.1",".",".",".",".",".",".",".",".",".","."
"","350
001","","22","3.205","9.1","22.7","68.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350
002","","23","3.239","13.0","39.1","30.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"","350
003","","24","3.583","50.0","29.2","12.5","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Professional Expression","Course Total","","69","3.348","24.6","30.4","36.2","7.2","1.4",".",".",".",".",".",".",".",".",".",".","."
"","351
001","","14","3.393","28.6","35.7","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","351
002","","16","3.594","43.8","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
351","","16","3.700","56.3","25.0","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","351
004","","16","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
005","","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","351
007","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Logic Laboratory","Course Total","","83","3.659","53.0","30.1","9.6","6.0",".",".",".","1.2",".",".",".",".",".",".",".","."
"","352
001","","23","2.935","17.4","21.7","21.7","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".","."
"","352
002","","32","2.766","12.5","15.6","21.9","31.3","9.4","9.4",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","","55","2.836","14.5","18.2","21.8","29.1","9.1","5.5","1.8",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","","45","2.875","20.0","17.8","17.8","20.0","13.3","8.9",".","2.2",".",".",".",".",".",".",".","."
"","354
001","","25","2.900","16.0","8.0","28.0","36.0","12.0",".",".",".",".",".",".",".",".",".",".","."
"","002
354","","7","3.000","42.9","14.3",".","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","","32","2.922","21.9","9.4","21.9","31.3","12.5","3.1",".",".",".",".",".",".",".",".",".","."
"","001
355","","36","2.722","22.2","11.1","27.8","16.7","8.3","2.8","11.1",".",".",".",".",".",".",".",".","."
"","355
003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Electromech Energy Conversn","Course Total","","39","2.769","23.1","12.8","25.6","17.9","7.7","2.6","10.3",".",".",".",".",".",".",".",".","."
"","370
001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
004","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","","44","3.875","77.3","20.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","","123","3.252","32.5","16.3","35.8","3.3","11.4",".","0.8",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","","64","3.086","15.6","23.4","42.2","12.5","1.6","3.1","1.6",".",".",".",".",".",".",".",".","."
"","399
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","","Page 116 of 396",""
