"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","",""
"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","102
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","9","3.556","66.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","003
102","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Basic Leadership","Course Total","","33","3.773","81.8","6.1","3.0","3.0","6.1",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 1B","111
111","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orienteering","194
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","202
001","","15","3.536","46.7","20.0","13.3","13.3",".",".",".","6.7",".",".",".",".",".",".",".","."
"","202
002","","13","3.654","61.5","15.4","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Teamwork","Course Total","","28","3.593","53.6","17.9","14.3","10.7",".",".",".","3.6",".",".",".",".",".",".",".","."
"Leadership Lab 2B","211
211","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership and Ethics","302
001","","13","3.731","61.5","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 3B","311
001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Officership","001
402","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership Lab 4B","411
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","131","3.751","74.0","12.2","7.6","3.1","1.5",".",".","0.8",".",".",".",".",".","0.8",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","30","3.603","66.7","13.3","10.0","3.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","","40","3.718","75.0","10.0","7.5","7.5",".",".",".",".",".",".",".",".",".",".",".","."
"Junior","","","23","3.750","69.6","13.0","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Senior","","","38","3.886","81.6","13.2","2.6",".",".",".",".",".",".",".",".",".",".","2.6",".","."
"Undergraduates","","","131","3.751","74.0","12.2","7.6","3.1","1.5",".",".","0.8",".",".",".",".",".","0.8",".","."
"","Dept. Total","","131","3.751","74.0","12.2","7.6","3.1","1.5",".",".","0.8",".",".",".",".",".","0.8",".","."
