"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","70","3.371","21.4","48.6","20.0","8.6",".",".","1.4",".",".",".",".",".",".",".",".","."
"","101
002","62","3.081","17.7","27.4","27.4","11.3","14.5","1.6",".",".",".",".",".",".",".",".",".","."
"","101
003","72","2.924","18.1","16.7","34.7","9.7","13.9","5.6","1.4",".",".",".",".",".",".",".",".","."
"","004
101","64","2.913","17.2","25.0","20.3","17.2","7.8","10.9",".",".",".",".",".",".",".",".","1.6","."
"","101
005","66","3.121","19.7","33.3","16.7","21.2","6.1","1.5","1.5",".",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","334","3.084","18.9","30.2","24.0","13.5","8.4","3.9","0.9",".",".",".",".",".",".",".","0.3","."
"","001
210","118","2.789","15.3","19.5","22.9","13.6","18.6","5.1","3.4","1.7",".",".",".",".",".",".",".","."
"","002
210","77","2.862","29.9","9.1","23.4","7.8","16.9","7.8","3.9","1.3",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","195","2.818","21.0","15.4","23.1","11.3","17.9","6.2","3.6","1.5",".",".",".",".",".",".",".","."
"","211
001","84","3.404","44.0","26.2","16.7","3.6","3.6","2.4","2.4",".",".",".",".",".",".",".","1.2","."
"","211
002","65","3.219","53.8","10.8","4.6","10.8","7.7","7.7","3.1","1.5",".",".",".",".",".",".",".","."
"","003
211","65","3.215","52.3","16.9","7.7","4.6","6.2","6.2","6.2",".",".",".",".",".",".",".",".","."
"","211
004","17","2.969","23.5","23.5","17.6","5.9","17.6",".","5.9","5.9",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","231","3.268","47.6","19.0","10.8","6.1","6.5","4.8","3.9","0.9",".",".",".",".",".",".","0.4","."
"","001
241","72","3.114","15.3","13.9","51.4","11.1","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"","002
241","72","3.000","13.9","25.0","26.4","19.4","13.9","1.4",".",".",".",".",".",".",".",".",".","."
"","241
003","98","3.479","37.8","32.7","20.4","1.0","3.1","2.0",".","3.1",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","242","3.226","24.0","24.8","31.4","9.5","7.0","1.2",".","2.1",".",".",".",".",".",".",".","."
"Philosophy of the Arts","001
253","67","3.351","31.3","28.4","23.9","11.9","4.5",".",".",".",".",".",".",".",".",".",".","."
"Humanity, Religion&Society","258
001","38","3.194","7.9","39.5","34.2","7.9","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","341
001","62","3.283","27.4","21.0","35.5","4.8","8.1",".",".","3.2",".",".",".",".",".",".",".","."
"","341
002","66","3.188","10.6","34.8","37.9","7.6","6.1",".",".","3.0",".",".",".",".",".",".",".","."
"","341
003","75","3.466","24.0","48.0","20.0","5.3",".",".",".","2.7",".",".",".",".",".",".",".","."
"","341
091","18","2.944","11.1","16.7","44.4","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","341
092","15","3.500","20.0","60.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
093","17","2.706","11.8","11.8","23.5","35.3","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"","341
094","22","3.932","86.4","13.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
095","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","294","3.340","26.2","33.0","26.9","7.1","4.1","0.3","0.3","2.0",".",".",".",".",".",".",".","."
"Hist of Ancient Philosophy","001
430","54","3.481","33.3","37.0","20.4","5.6","1.9",".",".",".",".",".",".",".",".",".","1.9","."
"History-Modern Philosophy","432
001","78","3.305","34.6","29.5","17.9","5.1","9.0",".","2.6",".",".",".",".",".","1.3",".",".","."
"Jewish Philos:Antiquity-17c","435
001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Ethics","441
001","44","2.898","29.5","15.9","20.5","9.1","13.6","4.5","6.8",".",".",".",".",".",".",".",".","."
"Classical Philosophers","454
001","17","3.719","47.1","41.2","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"Junior Honors Seminar","481
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","21","3.150","33.3","19.0","23.8",".","14.3",".","4.8","4.8",".",".",".",".",".",".",".","."
"Symbolic Logic","511
001","10","3.056","30.0","30.0",".",".","20.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","15","3.500","40.0","26.7","13.3","13.3",".",".",".",".",".",".",".",".",".","6.7",".","."
"Spec Topics Phil of Lang","517
001","14","3.429","28.6","35.7","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","14","3.385","35.7","28.6","21.4",".",".","7.1",".",".",".",".",".",".",".",".","7.1","."
"Philos Prblms-Biol Sciences","523
001","10","3.350","20.0","50.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Modern Philosophies of Ed","540
001","7","3.583","28.6","42.9","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"April 02, 2013","","","","","","","","","","","","","","","","","","Page 269 of 396",""
