"LAW","","","","","","","","","","","","","","","","","","","","","",""
"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"LAW
528","Dept. Total","3611","3.568","39.8","18.2","19.2","1.3","0.6","0.6","0.1","19.6","",".",".","",".","",".","0.3",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","6","3.167","33.3","16.7","16.7","16.7","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","9","3.000","11.1","44.4",".","11.1","33.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","15","3.075","20.0","33.3","6.7","13.3","26.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Special","","13","3.143","23.1","7.7","23.1","30.8",".",".",".","15.4","",".",".","",".","",".",".",".",".","."
"Graduate","","205","3.544","37.6","18.5","24.4","1.0","0.5",".",".","18.0","",".",".","",".","",".",".",".",".","."
"Prof Yr 1","","1080","3.564","46.3","27.5","24.0","1.0","0.4","0.3",".","0.5","",".",".","",".","",".",".",".","0.1","."
"Prof Yr 2","","1243","3.584","39.3","13.8","17.5","1.1","0.4","0.8","0.2","25.8","",".",".","",".","",".","0.7",".","0.3","."
"Prof Yr 3","","1026","3.576","35.7","14.1","15.9","1.3","0.9","0.8","0.1","30.8","",".",".","",".","",".","0.3",".","0.2","."
"Prof Yr 4","","29","4.000","3.4",".",".",".",".",".",".","96.6","",".",".","",".","",".",".",".",".","."
"Professionals","","3378","3.574","40.1","18.2","18.9","1.1","0.5","0.6","0.1","19.8","",".",".","",".","",".","0.4",".","0.2","."
"","Dept. Total","3611","3.568","39.8","18.2","19.2","1.3","0.6","0.6","0.1","19.6","",".",".","",".","",".","0.3",".","0.2","."
