"EDU","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","281","2.600","15.7","8.9","22.4","10.7","28.1","9.6","2.1","2.1",".",".",".",".",".","0.4",".","."
"","102
001","13","3.300","23.1",".",".","7.7","7.7",".",".","61.5",".",".",".",".",".",".",".","."
"","002
102","9","3.600","33.3","11.1",".","11.1",".",".",".","44.4",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","22","3.450","27.3","4.5",".","9.1","4.5",".",".","54.5",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","111
001","14","3.889","50.0","14.3",".",".",".",".",".","35.7",".",".",".",".",".",".",".","."
"","125
001","23","4.000","4.3",".",".",".",".",".",".","87.0",".",".",".",".",".",".","8.7","."
"","125
002","16","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","125
003","28","",".",".",".",".",".",".",".","92.9",".",".",".",".",".",".","7.1","."
"","004
125","15","4.000","13.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".","20.0","."
"Adapted Fitness&Pers Traing","Course Total","82","4.000","18.3",".",".",".",".",".",".","73.2",".",".",".",".",".",".","8.5","."
"","127
001","17","3.650","29.4","23.5",".","5.9",".",".",".","35.3","5.9",".",".",".",".",".",".","."
"","127
002","19","3.450","10.5","26.3","15.8",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"","127
004","17","3.583","17.6","47.1","5.9",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Bowling I","Course Total","53","3.563","18.9","32.1","7.5","1.9",".",".",".","37.7","1.9",".",".",".",".",".",".","."
"","129
001","19","3.929","31.6","5.3",".",".",".",".",".","63.2",".",".",".",".",".",".",".","."
"","129
002","13","3.833","30.8","15.4",".",".",".",".",".","53.8",".",".",".",".",".",".",".","."
"","129
003","21","3.833","9.5","4.8",".",".",".",".",".","85.7",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","53","3.875","22.6","7.5",".",".",".",".",".","69.8",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","001
130","28","3.525","39.3","14.3","3.6","10.7","3.6",".",".","28.6",".",".",".",".",".",".",".","."
"","131
001","20","3.633","35.0","25.0","15.0",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","131
002","18","2.850","16.7","11.1","5.6","5.6","11.1",".","5.6","44.4",".",".",".",".",".",".",".","."
"","131
003","20","3.250",".","25.0","25.0",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","58","3.300","17.2","20.7","15.5","1.7","3.4",".","1.7","39.7",".",".",".",".",".",".",".","."
"","132
001","17","3.577","41.2","11.8","17.6","5.9",".",".",".","23.5",".",".",".",".",".",".",".","."
"","132
002","28","3.333","25.0","10.7","10.7","3.6",".",".","3.6","46.4",".",".",".",".",".",".",".","."
"","003
132","26","3.722","42.3","19.2","3.8","3.8",".",".",".","30.8",".",".",".",".",".",".",".","."
"","132
004","25","3.233","8.0","36.0","12.0",".",".",".","4.0","36.0",".",".",".",".",".","4.0",".","."
"","132
005","20","3.406","10.0","45.0","25.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","132
006","21","3.550","23.8","14.3","4.8",".","4.8",".",".","52.4",".",".",".",".",".",".",".","."
"","132
007","23","3.633","47.8","13.0",".",".",".",".","4.3","34.8",".",".",".",".",".",".",".","."
"Weight Training","Course Total","160","3.495","28.1","21.3","10.0","1.9","0.6",".","1.9","35.6",".",".",".",".",".","0.6",".","."
"","133
001","16","3.500","62.5","12.5","6.3","6.3",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"","133
002","17","4.000","58.8",".",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","133
003","18","3.583","50.0","11.1",".",".",".",".","5.6","33.3",".",".",".",".",".",".",".","."
"","133
005","24","3.577","16.7","29.2","8.3",".",".",".",".","45.8",".",".",".",".",".",".",".","."
"","133
006","22","3.885","45.5","13.6",".",".",".",".",".","36.4",".",".",".",".",".","4.5",".","."
"Rhythmic/Step Aerobics","Course Total","97","3.690","44.3","14.4","3.1","1.0",".",".","2.1","34.0",".",".",".",".",".","1.0",".","."
"","134
004","26","3.844","53.8","3.8",".",".","3.8",".",".","38.5",".",".",".",".",".",".",".","."
"","134
005","18","3.542","50.0","5.6","5.6",".",".",".","5.6","27.8","5.6",".",".",".",".",".",".","."
"","134
007","18","3.708","44.4","5.6","16.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","62","3.713","50.0","4.8","6.5",".","1.6",".","1.6","33.9","1.6",".",".",".",".",".",".","."
"","138
001","14","3.500","7.1","21.4","7.1",".",".",".",".","64.3",".",".",".",".",".",".",".","."
"","138
002","16","3.643","25.0","6.3","12.5",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"","003
138","15","3.250","13.3","13.3",".","6.7","6.7",".",".","60.0",".",".",".",".",".",".",".","."
