"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4263","3.105","33.0","17.1","18.9","12.4","11.7","3.4","1.5","1.3","0.0",".","",".","0.3","0.3","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","453","2.517","11.9","10.8","16.6","22.7","24.5","9.7","3.5",".",".",".","",".",".",".","0.2",".","."
"Sophomore","","1151","2.932","20.4","19.3","20.5","17.8","16.3","4.2","1.3",".",".",".","",".",".","0.2",".",".","."
"Junior","","1019","3.118","32.2","17.4","23.3","10.8","11.4","3.4","1.4",".",".",".","",".",".","0.1","0.1",".","."
"Senior","","1364","3.371","46.4","18.4","18.0","7.8","5.7","1.0","1.2","0.5","0.1",".","",".","0.1","0.6","0.1","0.1","."
"Undergraduates","","3987","3.085","31.4","17.5","19.9","13.2","12.4","3.5","1.6","0.2","0.0",".","",".","0.0","0.3","0.1","0.0","."
"Special","","41","3.101","26.8","12.2","14.6","9.8","7.3","4.9",".","12.2",".",".","",".",".",".","4.9","2.4","4.9"
"Graduate","","234","3.817","61.5","10.3","2.6",".","0.4",".",".","17.9",".","0.9","",".","5.1","0.9",".","0.4","."
"Prof Yr 4","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"Professionals","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".","",".",".",".",".",".","."
"","Dept. Total","4265","3.105","33.0","17.1","18.9","12.4","11.7","3.4","1.5","1.3","0.0","0.0","",".","0.3","0.3","0.1","0.1","0.0"
