"SLAVIC (SLAVIC LANGUAGES)","Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"Indiv Research-Slavic Lit","Course Total","12","",".",".",".",".",".","",".",".","75.0",".",".",".","",".","16.7",".","8.3","."
"SLAVIC
888","Dept. Total","268","3.671","58.6","22.4","7.5","3.0","1.1","",".","0.7","3.7",".",".",".","",".","1.1",".","1.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.560","64.3",".","28.6","7.1",".","",".",".",".",".",".",".","",".",".",".",".","."
"Sophomore","","50","3.667","60.0","24.0","10.0","2.0","2.0","",".",".",".",".",".",".","",".","2.0",".",".","."
"Junior","","56","3.698","64.3","23.2","7.1","3.6","1.8","",".",".",".",".",".",".","",".",".",".",".","."
"Senior","","85","3.608","56.5","30.6","7.1","3.5",".","",".","2.4",".",".",".",".","",".",".",".",".","."
"Undergraduates","","205","3.645","60.0","24.9","9.3","3.4","1.0","",".","1.0",".",".",".",".","",".","0.5",".",".","."
"Special","","6","3.842","66.7",".","16.7",".",".","",".",".",".",".",".",".","",".",".",".","16.7","."
"Graduate","","57","3.786","52.6","15.8",".","1.8","1.8","",".",".","17.5",".",".",".","",".","3.5",".","7.0","."
"","Dept. Total","268","3.671","58.6","22.4","7.5","3.0","1.1","",".","0.7","3.7",".",".",".","",".","1.1",".","1.9","."
