"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","41","3.588","65.9","7.3","17.1",".","4.9",".","2.4",".",".","",".",".","",".","",".",".","2.4","."
"Indians of Wisconsin","250
001","38","3.105","31.6","21.1","15.8","5.3","23.7","2.6",".",".",".","",".",".","",".","",".",".",".","."
"American Indians in Film","325
001","52","3.660","61.5","15.4","11.5","3.8","3.8",".",".","1.9",".","",".",".","",".","",".","1.9",".","."
"American Indian Women","437
001","13","3.538","61.5",".","23.1","15.4",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Native Amer Envir Iss & Media","444
001","18","3.794","55.6","38.9",".",".",".",".",".",".",".","",".",".","",".","","5.6",".",".","."
"","450
006","22","3.955","90.9","9.1",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
009","30","3.617","56.7","30.0","3.3",".","10.0",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
013","8","3.875","87.5",".","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Issues in Amer Ind Studies","Course Total","60","3.775","73.3","18.3","3.3",".","5.0",".",".",".","",".",".","",".","",".",".",".",".","."
"American Indian Families","522
001","3","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Poverty and Place","578
001","5","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Directed Study","699
008","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","231","3.584","59.7","16.0","11.3","3.0","6.9","0.4","0.4","0.9","",".",".","",".","",".","0.4","0.4","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","3.192","53.8",".","7.7","7.7","30.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","32","3.719","68.8","18.8","6.3",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","37","3.500","51.4","21.6","10.8","8.1","8.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","144","3.607","60.4","16.0","12.5","2.1","4.9","0.7","0.7","1.4","",".",".","",".","",".","0.7","0.7",".","."
"Undergraduates","","226","3.581","59.7","16.4","11.1","3.1","7.1","0.4","0.4","0.9","",".",".","",".","",".","0.4","0.4",".","."
"Special","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","100.0","."
"Graduate","","4","3.750","75.0",".","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","231","3.584","59.7","16.0","11.3","3.0","6.9","0.4","0.4","0.9","",".",".","",".","",".","0.4","0.4","0.4","."
