"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"Intermediate Algebra","101
003","37","2.392","21.6","10.8","10.8","2.7","32.4","10.8","10.8",".",".",".",".",".",".",".",".","."
"","112
001","22","2.841","22.7","18.2","27.3","4.5","9.1","18.2",".",".",".",".",".",".",".",".",".","."
"","112
002","22","2.341","9.1","4.5","22.7","9.1","40.9","9.1","4.5",".",".",".",".",".",".",".",".","."
"","112
003","24","3.022","20.8","8.3","37.5","12.5","16.7",".",".",".",".",".",".",".","4.2",".",".","."
"","112
004","21","2.500","23.8","4.8","14.3","4.8","33.3","4.8","9.5","4.8",".",".",".",".",".",".",".","."
"","010
112","23","3.022","43.5","8.7","21.7","4.3","8.7","4.3","8.7",".",".",".",".",".",".",".",".","."
"","112
011","22","2.750","31.8","13.6","9.1","9.1","13.6","22.7",".",".",".",".",".",".",".",".",".","."
"","112
013","29","2.857","31.0","10.3","20.7","3.4","20.7","3.4","6.9",".",".",".",".",".","3.4",".",".","."
"","112
014","23","3.000","34.8","4.3","21.7","21.7",".","13.0",".",".",".",".",".",".","4.3",".",".","."
"","112
015","22","2.636","31.8","9.1","4.5",".","40.9","9.1","4.5",".",".",".",".",".",".",".",".","."
"","112
016","25","2.440","12.0","8.0","32.0",".","28.0","16.0","4.0",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","233","2.745","26.2","9.0","21.5","6.9","21.0","9.9","3.9","0.4",".",".",".",".","1.3",".",".","."
"","113
001","27","2.741","18.5","11.1","29.6","11.1","18.5","7.4","3.7",".",".",".",".",".",".",".",".","."
"","002
113","28","2.593","17.9","3.6","25.0","17.9","17.9","10.7","3.6",".",".",".",".",".","3.6",".",".","."
"","113
004","34","2.656","17.6","20.6","14.7","14.7","5.9","14.7","5.9",".","2.9",".",".",".",".",".","2.9","."
"","113
005","23","3.304","30.4","34.8","13.0","8.7","13.0",".",".",".",".",".",".",".",".",".",".","."
"","006
113","21","3.095","14.3","28.6","38.1","9.5","4.8","4.8",".",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","133","2.846","19.5","18.8","23.3","12.8","12.0","8.3","3.0",".","0.8",".",".",".","0.8",".","0.8","."
"Algebra and Trigonometry","114
001","100","2.742","13.0","11.0","27.0","22.0","20.0","5.0","1.0",".",".",".",".",".",".",".",".","1.0"
"","130
001","23","2.913","17.4","21.7","21.7","21.7","8.7","8.7",".",".",".",".",".",".",".",".",".","."
"","002
130","22","2.864","27.3","13.6","18.2","13.6","18.2","4.5","4.5",".",".",".",".",".",".",".",".","."
"","130
003","22","2.841","22.7","22.7","9.1","18.2","13.6","13.6",".",".",".",".",".",".",".",".",".","."
"Math for","Course Total","67","2.873","22.4","19.4","16.4","17.9","13.4","9.0","1.5",".",".",".",".",".",".",".",".","."
"","131
001","10","3.550","50.0","20.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","131
002","16","3.063","25.0","25.0","18.8","25.0",".",".","6.3",".",".",".",".",".",".",".",".","."
"Math for Tchng:","Course Total","26","3.250","34.6","23.1","19.2","19.2",".",".","3.8",".",".",".",".",".",".",".",".","."
"","001
132","16","2.781","25.0","6.3","31.3","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".","."
"","002
132","19","3.105","31.6","26.3","21.1","5.3","5.3","5.3","5.3",".",".",".",".",".",".",".",".","."
"Prob Solvng: Alg, Prob & Stats","Course Total","35","2.957","28.6","17.1","25.7","8.6","8.6","5.7","5.7",".",".",".",".",".",".",".",".","."
"Algebraic Reasong-Teachng Math","135
001","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematics for Teaching","138
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Reasoning&Prob Solvng","141
001","56","2.875","8.9","19.6","33.9","16.1","19.6","1.8",".",".",".",".",".",".",".",".",".","."
"","211
001","243","2.942","14.0","22.6","28.4","15.2","15.6","0.8","2.1",".","0.4",".",".",".","0.8",".",".","."
"","002
211","250","2.998","16.0","21.2","28.8","18.4","11.2","3.2",".",".",".",".",".",".","1.2",".",".","."
"Calculus","Course Total","493","2.970","15.0","21.9","28.6","16.8","13.4","2.0","1.0",".","0.2",".",".",".","1.0",".",".","."
"Calc/Intro-Differntl Equats","213
001","131","2.836","20.6","19.8","16.0","17.6","16.0","7.6","2.3",".",".",".",".",".",".",".",".","."
"","217
001","251","2.558","15.1","10.4","22.7","9.6","28.7","9.6","4.0",".",".",".",".",".",".",".",".","."
"","002
217","181","2.796","26.5","11.0","23.8","8.8","16.6","8.3","5.0",".",".",".",".",".",".",".",".","."
"Calc with Algebra & Trig II","Course Total","432","2.657","19.9","10.6","23.1","9.3","23.6","9.0","4.4",".",".",".",".",".",".",".",".","."
"","221
001","173","2.618","21.4","2.9","28.9","5.2","29.5","7.5","4.6",".",".",".",".",".",".",".",".","."
"","221
002","187","2.602","21.4","2.7","27.3","5.9","30.5","6.4","5.3",".","0.5",".",".",".",".",".",".","."
"","221
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Calculus&Analytic Geometry 1","Course Total","362","2.598","21.3","2.8","27.9","5.5","29.8","7.2","5.2",".","0.3",".",".",".",".",".",".","."
"","001
222","232","2.871","26.3","15.5","21.6","12.1","12.9","6.9","4.7",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 258 of 409",""
