"L&S","","","","","","","","","","","","","","","","","","","",""
"AFRICAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"Intro-African Lang and Lit","201
001","","110","3.514","51.8","22.7","10.0","5.5","3.6","0.9","1.8",".",".",".",".",".","2.7","0.9",".","."
"The African Storyteller","210
001","","52","3.135","42.3","21.2","11.5","9.6","3.8","3.8","7.7",".",".",".",".",".",".",".",".","."
"Hero&Trickster-Oral Traditn","270
001","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","","35","3.386","20.0","45.7","25.7","8.6",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","11","3.324","45.5","9.1","27.3",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.692","62.5","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
322","","17","3.614","52.9","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","322
005","","11","3.736","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Arabic","Course Total","","55","3.603","56.4","18.2","18.2","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"","324
001","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Arabic","Course Total","","15","3.567","46.7","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","325
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","325
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquial Arabic","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Colloquial Arabic","326
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Swahili","332
001","","20","3.575","55.0","25.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Swahili","334
001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem-Lang-South Africa","336
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Second Semester Yoruba","372
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Yoruba","374
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413
001","","13","3.659","53.8","15.4","23.1",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Adv Studies-Swahili Lang-Rd","436
001","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Readings-Adv Arabic Texts","446
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sixth Semester Yoruba","476
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Lang and Society in Africa","500
001","","25","3.822","64.0","36.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Struct&Analysis-Afric Langs","501
001","","20","3.716","45.0","55.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","669
001","","14","3.250","50.0",".","35.7","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","669
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","17","3.344","52.9",".","29.4","5.9",".",".","5.9",".",".",".",".",".","5.9",".",".","."
"Directed Study","699
023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","Course Total","","11","",".",".",".",".",".",".",".","81.8",".",".",".","9.1","9.1",".",".","."
