"","996
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","996
032","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Plant Physiology","Course Total","8","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"BOTANY
208","Dept. Total","822","3.074","34.8","12.0","21.8","7.8","12.7","2.8","1.5","4.7",".",".",".","1.5","0.4",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","2.697","19.5","12.2","26.8","7.3","24.4","4.9","4.9",".",".",".",".",".",".",".",".","."
"Sophomore","","160","3.011","25.6","15.0","28.8","12.5","15.0","2.5","0.6",".",".",".",".",".",".",".",".","."
"Junior","","201","3.003","30.3","14.4","23.9","10.9","14.9","4.0","1.5",".",".",".",".",".",".",".",".","."
"Senior","","273","3.087","39.9","9.5","24.5","5.5","14.3","2.9","2.2",".",".",".",".","0.4","0.7",".",".","."
"Undergraduates","","675","3.019","32.4","12.4","25.5","8.9","15.3","3.3","1.8",".",".",".",".","0.1","0.3",".",".","."
"Special","","19","3.224","31.6","15.8","15.8","15.8",".","5.3",".","15.8",".",".",".",".",".",".",".","."
"Graduate","","128","3.788","47.7","9.4","3.1","0.8","0.8",".",".","28.1",".",".",".","8.6","0.8",".","0.8","."
"","Dept. Total","822","3.074","34.8","12.0","21.8","7.8","12.7","2.8","1.5","4.7",".",".",".","1.5","0.4",".","0.1","."
