"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","18","3.875","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Signals, Information & Comp","203
001","98","2.990","23.5","18.4","23.5","12.2","18.4","3.1","1.0",".",".",".",".",".",".",".",".","."
"Intro Electrical Engr","210
001","129","3.899","95.3",".","0.8",".","3.1",".","0.8",".",".",".",".",".",".",".",".","."
"Analytical Methods for EM Engr","219
001","91","3.731","73.6","12.1","6.6","6.6",".",".","1.1",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","67","3.313","47.8","6.0","25.4","3.0","17.9",".",".",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","101","3.233","43.6","13.9","11.9","12.9","14.9","3.0",".",".",".",".",".",".",".",".",".","."
"","252
001","53","3.509","54.7","20.8","9.4","9.4","3.8",".","1.9",".",".",".",".",".",".",".",".","."
"","252
002","36","3.681","66.7","19.4","2.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
252","54","2.861","31.5","18.5","9.3","5.6","22.2","9.3","3.7",".",".",".",".",".",".",".",".","."
"Intro to Computer Engineering","Course Total","143","3.308","49.0","19.6","7.7","7.0","11.2","3.5","2.1",".",".",".",".",".",".",".",".","."
"","270
001","47","3.798","74.5","14.9","6.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","39","3.641","79.5","5.1","7.7",".",".","5.1","2.6",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","86","3.727","76.7","10.5","7.0","2.3",".","2.3","1.2",".",".",".",".",".",".",".",".","."
"","271
001","14","3.179","14.3","42.9","28.6","7.1",".","7.1",".",".",".",".",".",".",".",".",".","."
"","271
002","14","3.292","35.7","14.3","21.4","7.1",".","7.1",".",".",".",".",".",".","7.1","7.1",".","."
"Circuits Laboratory II","Course Total","28","3.231","25.0","28.6","25.0","7.1",".","7.1",".",".",".",".",".",".","3.6","3.6",".","."
"Electric Machines Lab","304
001","28","3.558","35.7","35.7","17.9","3.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","13","3.846","92.3",".",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
003","10","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","13","3.769","69.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","29","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","317
001","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","20","3.425","35.0","30.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
101","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Signals and Systems","330
001","63","3.516","36.5","42.9","15.9","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","25","2.620","12.0","12.0","12.0","24.0","36.0","4.0",".",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","18","3.194","50.0",".","22.2","5.6","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","20","3.600","35.0","50.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","58","2.853","15.5","19.0","27.6","17.2","12.1","6.9","1.7",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","41","3.427","34.1","31.7","26.8",".","7.3",".",".",".",".",".",".",".",".",".",".","."
"","352
001","46","3.185","23.9","30.4","21.7","15.2","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"","002
352","37","2.865","18.9","32.4","13.5","10.8","10.8","8.1","5.4",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","83","3.042","21.7","31.3","18.1","13.3","7.2","6.0","2.4",".",".",".",".",".",".",".",".","."
"Intro to Microprocessor Sys","353
001","49","3.102","28.6","20.4","18.4","16.3","12.2","4.1",".",".",".",".",".",".",".",".",".","."
"","354
001","32","3.141","25.0","28.1","21.9",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","354
002","21","2.643","4.8","19.0","28.6","23.8","14.3","4.8","4.8",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","53","2.943","17.0","24.5","24.5","9.4","20.8","1.9","1.9",".",".",".",".",".",".",".",".","."
"","355
001","37","3.095","16.2","29.7","27.0","21.6","2.7",".","2.7",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 117 of 409",""
