"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tech:Computer-Based Bus Sys","371
001","","11","3.409","63.6","9.1","18.2",".","",".",".","","9.1",".","",".","",".",".","",".","",".","",".",".","."
"Anal&Dsgn:Comptr-Based Sys","424
001","","12","3.542","41.7","25.0","33.3",".","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"INFO SYS
234","Dept. Total","","23","3.478","52.2","17.4","26.1",".","",".","",".","4.3","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"234
INFO SYS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","4","3.500","50.0",".","50.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","15","3.633","53.3","20.0","26.7",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","20","3.625","55.0","15.0","30.0",".","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","3","2.500","33.3","33.3",".",".","",".","",".","33.3","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","23","3.478","52.2","17.4","26.1",".","",".","",".","4.3","",".","",".",".","",".","",".","",".",".",".","."
