"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"","301","002","","15","3.867","86.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","301","004","","15","3.786","53.3","40.0",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","301","005","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","","Course Total","","57","3.670","56.1","26.3","10.5","3.5","1.8",".",".",".",".",".",".",".","1.8",".",".","."
"","302","001","","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","","Course Total","","27","3.778","63.0","29.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307","001","","14","3.643","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","307","002","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creative Writing: Workshop","","Course Total","","27","3.722","63.0","25.9","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Composition","315","001","","15","3.667","73.3","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"Writing in Workplaces","317","001","","16","3.867","68.8","25.0",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Old English","320","001","","9","3.500","55.6","11.1",".","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".","."
"Structure of English","324","001","","30","3.750","76.7","10.0","10.0",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"ESL:Acad Presentatns & Disc","326","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","328","002","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","328","005","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"ESL: Acad Skills Workshops","","Course Total","","23","",".",".",".",".",".",".",".",".",".","95.7","4.3",".",".",".",".","."
"Intro to the Syntax of English","329","001","","23","3.457","52.2","26.1","8.7","4.3",".","8.7",".",".",".",".",".",".",".",".",".","."
"English Phonology","330","001","","25","3.520","48.0","32.0","4.0","8.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Second Language Acquisition","333","001","","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to TESOL Methods","334","001","","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Techniques&Materials for TESOL","335","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"English in Society","336","001","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337","001","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","002","","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","003","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","004","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","005","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","337","006","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"TESOL Workshops","","Course Total","","60","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"A Theme-Medieval Eng Lit","362","001","","15","3.733","73.3","13.3",".","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucer's Canterbury Tales","367","001","","23","3.386","30.4","26.1","30.4","4.3","4.3",".",".","4.3",".",".",".",".",".",".",".","."
"Outstandg Figures-16thc Lit","401","001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"A Theme in 16th C Eng Lit","402","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","418","001","","30","3.367","30.0","36.7","13.3","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","418","002","","33","3.439","21.2","45.5","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Shakespeare","","Course Total","","63","3.405","25.4","41.3","23.8","7.9","1.6",".",".",".",".",".",".",".",".",".",".","."
"Milton","434","001","","16","3.313","18.8","62.5","12.5",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"Theme in 18th C Eng Lit","442","001","","18","3.722","66.7","22.2","5.6",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"English Novel: 18th Cent","459","001","","29","3.276","51.7","20.7","13.8",".","3.4",".","10.3",".",".",".",".",".",".",".",".","."
"Studies in Romantic Lit","465","001","","20","3.475","50.0","20.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
