"L&S","","","","","","","","","","","","","","","","","","","",""
"ATMOSPHERIC & OCEANIC SCIE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","",""
"100
Weather and Climate","001","","301","3.003","22.3","17.6","24.9","22.9","6.3","5.0","1.0",".",".",".",".",".",".",".",".","."
"101
Weather and Climate","001","","77","3.292","36.4","23.4","22.1","6.5","7.8","3.9",".",".",".",".",".",".",".",".",".","."
"105
Survey of Oceanography","001","","50","3.140","16.0","26.0","34.0","18.0","6.0",".",".",".",".",".",".",".",".",".",".","."
"132
Earth Water:Nat Sci&Hum Use","001","","34","3.338","32.4","26.5","20.6","17.6","2.9",".",".",".",".",".",".",".",".",".",".","."
"171
Global Chg: Atmospheric Iss","001","","37","3.439","32.4","27.0","21.6","2.7","5.4",".",".","8.1",".",".",".",".","2.7",".",".","."
"311
Dynamic-Atmosphere&Ocean II","001","","19","2.737","15.8",".","21.1","42.1","21.1",".",".",".",".",".",".",".",".",".",".","."
"332
Global Warming:Science&Impacts","001","","29","3.036","10.3","31.0","31.0","10.3","10.3","3.4",".",".",".",".",".",".","3.4",".",".","."
"340
Physics-Atmosphere&Ocean II","001","","20","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"405
AOS Senior Capstone Seminar","001","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"441
Radar & Satellite Meteorology","001","","25","3.820","72.0","20.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"453
Syn Lab II-Mesoscale Meteor","001","","18","3.083","11.1","22.2","44.4","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"522
Tropical Meteorology","001","","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"575
Climatological Analysis","001","","16","3.400","31.3","31.3","18.8","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"611
Geophys Fluid Dynamics II","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"637
Cloud Physics","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"640
Radiatn in Atmosphere&Ocean","001","","16","3.594","56.3","25.0",".","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"692","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"692","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"692","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","10","3.833","70.0","10.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"698","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"900
Seminar-Meteorology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Limnology & Marine Sci Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","9","",".",".",".",".",".",".",".","11.1",".",".",".","77.8","11.1",".",".","."
"990","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","","Page 264 of 409",""
