"","990
109","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
110","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
111","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","52","",".",".",".",".",".",".",".","75.0",".",".",".","21.2","",".",".","3.8","."
"PATH
704","Dept. Total","485","3.462","32.2","23.1","14.8","7.0","0.2","0.6","0.6","8.7",".","9.7",".","2.3","",".",".","0.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","2","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","61","3.342","42.6","21.3","14.8","16.4","1.6","1.6","1.6",".",".",".",".",".","",".",".",".","."
"Senior","","153","3.488","43.1","29.4","16.3","6.5",".","1.3","1.3","1.3",".",".",".",".","",".",".","0.7","."
"Undergraduates","","217","3.452","43.8","26.7","15.7","9.2","0.5","1.4","1.4","0.9",".",".",".",".","",".",".","0.5","."
"Special","","5","3.500","40.0","40.0",".","20.0",".",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","163","3.513","33.1","3.7","6.1","0.6",".",".",".","22.1",".","26.4",".","5.5","",".",".","2.5","."
"Prof Yr 1","","122","3.447","32.0","35.2","23.0","9.8",".",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","11","4.000","36.4",".",".",".",".",".",".","18.2",".","27.3",".","18.2","",".",".",".","."
"Prof Yr 4","","12","3.813","50.0","25.0",".",".",".",".",".","16.7",".","8.3",".",".","",".",".",".","."
"Professionals","","145","3.468","33.8","31.7","19.3","8.3",".",".",".","2.8",".","2.8",".","1.4","",".",".",".","."
"","Dept. Total","530","3.462","37.7","21.1","13.6","6.4","0.2","0.6","0.6","7.9",".","8.9",".","2.1","",".",".","0.9","."
