"L&S","","","","","","","","","","","","","","","","","","",""
"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"COMP SCI
266","Dept. Total","3520","3.166","34.0","14.7","20.3","8.0","8.7","2.4","2.6","6.5","0.1","1.7","0.1","0.3","0.2","0.1","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","104","2.260","17.3","6.7","19.2","10.6","23.1","4.8","14.4",".",".","2.9",".",".","1.0",".",".","."
"Sophomore","","509","2.860","25.9","10.2","26.7","14.5","14.3","2.8","4.5",".",".","0.8",".",".",".","0.2",".","."
"Junior","","788","3.039","27.3","14.8","28.8","9.1","9.8","3.0","3.0",".",".","3.4","0.3",".","0.3",".",".","0.1"
"Senior","","1252","3.209","36.5","17.4","20.4","9.0","8.5","2.9","1.9","0.4","0.2","1.9","0.2","0.1","0.3",".",".","0.2"
"Undergraduates","","2653","3.061","31.0","14.9","24.1","10.2","10.6","3.0","3.2","0.2","0.1","2.2","0.2","0.0","0.3","0.0",".","0.1"
"Special","","111","3.106","39.6","9.0","18.9","3.6","15.3","3.6","2.7","4.5",".","1.8","0.9",".",".",".",".","."
"Graduate","","758","3.695","44.2","14.9","7.1","0.8","1.2","0.1","0.5","28.8",".","0.1",".","1.5","0.1","0.1","0.5","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Professionals","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","Dept. Total","3523","3.166","34.1","14.7","20.3","7.9","8.7","2.4","2.6","6.5","0.1","1.7","0.1","0.3","0.2","0.1","0.1","0.1"
