"FOREST AND WILDLIFE ECOLO","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","17","3.933","88.2",".","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"875","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"879
Advanced Landscape Ecology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"955
Practical Rsch Design&Inquiry","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"961
Wildlife Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","14.3",".",".",".","85.7",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","054","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","50","",".",".",".",".",".",".",".","36.0",".",".",".","64.0",".",".",".","."
"999
Advanced Independent Study","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
