"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"Spanish for Spanish Speaker","207
001","10","2.850","10.0","30.0","20.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".",".","."
"","223
001","177","3.827","84.2","7.9","2.3","1.7","2.3","0.6","0.6","0.6",".",".",".",".",".",".",".","."
"","223
002","20","3.737","60.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","223
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Hispanic Cultures","Course Total","202","3.810","80.2","10.4","4.0","1.5","2.0","0.5","0.5","0.5",".",".",".",".",".","0.5",".","."
"","224
001","137","3.606","58.4","16.8","20.4","2.2","0.7",".","1.5",".",".",".",".",".",".",".",".","."
"","002
224","23","3.696","60.9","26.1","8.7",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro-Hispanic Literatures","Course Total","160","3.619","58.8","18.1","18.8","1.9","1.3",".","1.3",".",".",".",".",".",".",".",".","."
"","226
001","14","3.286","7.1","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","16","3.375","43.8","18.8","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","226
003","16","3.156","18.8","18.8","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","226
004","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
226","19","3.711","63.2","15.8","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","15","3.200","20.0","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","007
226","19","3.237","26.3","15.8","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","008
226","16","3.500","31.3","31.3","31.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","009
226","19","2.789","10.5","21.1","42.1",".","15.8","5.3","5.3",".",".",".",".",".",".",".",".","."
"","226
010","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","226
011","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","226
012","18","3.028","5.6","27.8","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","226
015","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
016","20","3.225","15.0","15.0","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
017","20","3.450","30.0","40.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","226
018","20","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
019","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interm Lang Prac-","Course Total","307","3.404","34.9","25.4","31.3","3.6","3.9","0.3","0.3","0.3",".",".",".",".",".",".",".","."
"","311
001","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
311","21","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
003","19","3.842","68.4","31.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
311","19","3.237","26.3","10.5","52.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","006
311","15","3.133","13.3","20.0","46.7","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","311
007","16","3.733","62.5","12.5","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","311
008","19","3.553","36.8","36.8","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
311","18","3.853","72.2","16.7","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","311
010","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
011","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Language Practice","Course Total","207","3.659","54.1","25.1","17.4","1.9","0.5",".",".","0.5",".",".",".",".","0.5",".",".","."
"","001
319","24","3.625","66.7","12.5","12.5","4.2",".","4.2",".",".",".",".",".",".",".",".",".","."
"","319
002","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","Course Total","44","3.750","72.7","15.9","6.8","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"","320
001","23","3.478","39.1","26.1","30.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","320
002","20","3.200","30.0","20.0","40.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","320
003","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
320","26","3.846","96.2",".",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"June 25, 2014","","","","","","","","","","","","","","","","","","Page 313 of 409",""
