"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Survey of Botany","100","001","98","3.454","49.0","21.4","16.3","2.0","10.2",".","1.0",".",".",".",".",".",".",".",".","."
"Plants, Parasites, & People","123","001","93","2.935","23.7","18.3","19.4","16.1","14.0","5.4","2.2",".",".",".",".",".","1.1",".",".","."
"General Botany","130","001","150","2.826","16.0","11.3","36.0","7.3","22.0","6.7",".","0.7",".",".",".",".",".",".",".","."
"Introductory Biology","151","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","152","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","152","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Introductory Ecology","260","001","94","2.963","20.2","13.8","29.8","17.0","16.0","3.2",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","11","3.227","45.5",".","27.3","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vascular Flora of Wisconsin","401","001","47","3.298","38.3","17.0","25.5","8.5","8.5","2.1",".",".",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","13","3.115","30.8","7.7","23.1","30.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"General Ecology","460","001","64","2.405","14.1","3.1","28.1","7.8","31.3","3.1","10.9","1.6",".",".",".",".",".",".",".","."
"General Genetics","466","001","9","2.500","11.1","22.2","11.1","11.1","22.2","22.2",".",".",".",".",".",".",".",".",".","."
"Plant-Insect Interactions","473","001","20","3.225","45.0","5.0","30.0","10.0","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","500","001","18","3.750","72.2","11.1","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","500","002","28","3.643","67.9",".","28.6",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Plant Physiology","","Course Total","46","3.678","69.6","4.3","21.7","2.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Plant-Microbe Interactions","505","001","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","575","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","575","002","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575","003","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","30","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","651","001","6","2.750",".","33.3","16.7","16.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","005","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","031","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","34","3.979","94.1","2.9",".",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Ecosystem Concepts","725","004","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Plant Physiol","858","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Plant Cell Biology","860","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Landscape Ecology","879","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
