"ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","",""
"990","045","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","048","","6","",".",".",".",".",".",".",".","16.7",".",".",".","83.3",".",".",".","."
"990","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","061","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","063","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","79","",".",".",".",".",".",".",".","72.2",".",".",".","22.8","3.8","1.3",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","057","","11","4.000","81.8",".",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"999","061","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"999","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","203","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","30","4.000","80.0",".",".",".",".",".",".","3.3",".",".",".",".","13.3",".","3.3","."
