"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Neon: Light as Sculpture","454
001","12","3.333","41.7",".","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Visual Comm & Research","458
001","14","3.393","28.6","21.4","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Papermaking;Hist,Elem&Techs","466
001","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
001","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","469
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","10","3.450","30.0","30.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","508
001","102","3.732","78.4","2.0","8.8",".","3.9",".","2.0","3.9",".",".",".",".",".","1.0",".","."
"","508
002","64","3.754","79.7","4.7","7.8","3.1","1.6",".","1.6",".",".",".",".",".",".",".","1.6","."
"Colloquium in Art","Course Total","166","3.741","78.9","3.0","8.4","1.2","3.0",".","1.8","2.4",".",".",".",".",".","0.6","0.6","."
"","512
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","512
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","Course Total","4","***","","","","","","","","","","","","","","","",""
"Advanced Sculpture I","514
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Installations & Environments","521
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526
001","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio II","529
001","7","3.833","71.4",".","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Advanced Life Drawing I","532
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","9","3.222","11.1","55.6","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","9","3.278","11.1","44.4","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","548
001","9","3.845","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","548
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","548
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","548
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","548
006","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","548
007","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Advanced Level","Course Total","26","3.847","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Glassworking","554
001","7","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576
001","8","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","Course Total","5","***","","","","","","","","","","","","","","","",""
"Advanced Sculpture II","614
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","622
001","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","Course Total","24","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
