"COMPUTER SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"750
Real-time Computing Systems","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","13","3.346","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"760
Machine Learning","001","","56","3.473","39.3","39.3","10.7",".","7.1",".","1.8","1.8",".",".",".",".",".",".",".","."
"761
Advanced Machine Learning","001","","32","3.625","50.0","31.3","15.6",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"764
Topics-Database Mgt Systems","001","","22","3.667","45.5","36.4","13.6",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"766
Computer Vision","001","","21","3.714","47.6","47.6","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","13","2.708","38.5","7.7","15.4",".","7.7","7.7","15.4","7.7",".",".",".",".",".",".",".","."
"787
Advanced Algorithms","001","","27","3.577","40.7","29.6","25.9",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"790","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Thesis","Course Total","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","029","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","033","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"799","035","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","038","","6","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"799","082","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
