"ANIMAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"1
Cooperative Educ in Animal Sci","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"110
Animal Handling","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"150
Career Orientation An/Poul Sci","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"200
Biol&Apprec-Companion Anmls","001","","146","2.986","25.3","17.8","20.5","13.7","15.1","4.8","1.4",".",".",".",".",".","0.7","0.7",".","."
"221
Adv Meat Animal Eval Lab","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","035","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"305
Intro-Meat Sci & Technology","001","","40","3.375","30.0","22.5","42.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","56","2.607","10.7","14.3","25.0","14.3","23.2","10.7","1.8",".",".",".",".",".",".",".",".","."
"313","001","","7","3.429","71.4",".","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"313","002","","19","3.447","73.7","5.3","5.3",".",".","15.8",".",".",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","26","3.442","73.1","3.8","7.7",".",".","15.4",".",".",".",".",".",".",".",".",".","."
"320
Animal Health & Disease Mgt","001","","72","3.225","38.9","15.3","19.4","9.7","11.1","4.2",".",".",".",".",".",".","1.4",".",".","."
"321
Food Laws and Regulations","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"361
Intro to Animal & Vet Genetics","001","","51","3.020","31.4","7.8","29.4","3.9","23.5","3.9",".",".",".",".",".",".",".",".",".","."
"362
Veterinary Genetics","001","","28","3.071","25.0","14.3","35.7",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"363
Principles of Animal Breeding","001","","19","3.316","52.6",".","31.6",".","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"375","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","7","3.429","57.1",".","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"375","003","","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","004","","27","3.185","44.4","11.1","18.5","3.7","14.8","7.4",".",".",".",".",".",".",".",".",".","."
"375","005","","10","3.550","20.0","70.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","81","3.500","60.5","18.5","11.1","1.2","6.2","2.5",".",".",".",".",".",".",".",".",".","."
"399","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","5","***","","","","","","","","","","","","","","","",""
"430
Sheep Production","001","","22","3.705","72.7","4.5","18.2",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"432
Swine Production","001","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"520
Ornithology","001","","18","2.667","16.7","11.1","27.8","11.1","22.2","5.6","5.6",".",".",".",".",".",".",".",".","."
"521","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"521","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"521","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"521","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Birds of Southern Wisconsin","Course Total","","10","3.300","40.0",".","50.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
