"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","95","3.048","12.6","25.3","45.3","7.4","3.2","2.1","3.2","1.1",".",".",".",".",".",".",".","."
"Global Phys Environments","120","001","117","3.000","20.5","19.7","23.1","17.9","15.4","1.7","0.9",".",".",".",".",".",".","0.9",".","."
"Resources and People","139","001","52","3.060","23.1","19.2","23.1","15.4","13.5",".","1.9","3.8",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","65","3.071","26.2","9.2","27.7","26.2","4.6","3.1",".","1.5",".",".",".",".","1.5",".",".","."
"Soil: Ecosystem & Resource","230","001","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254","001","8","3.063","25.0","50.0",".","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to the City","305","001","55","3.708","70.9","12.7","9.1",".",".","1.8","1.8","1.8",".",".",".",".",".",".","1.8","."
"Introduction to Geopolitics","318","001","47","3.444","31.9","38.3","12.8","8.5","4.3",".",".","2.1",".",".",".",".","2.1",".",".","."
"Geomorphology","320","001","13","3.423","46.2","15.4","23.1","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Landforms-Topics & Regions","326","001","14","3.357","35.7","28.6","21.4",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","52","2.926","11.5","11.5","38.5","17.3","9.6",".","1.9","9.6",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","14","3.179","7.1","35.7","50.0",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Environmental Biogeography","338","001","28","3.315","35.7","10.7","42.9",".","3.6","3.6",".",".",".",".",".",".",".","3.6",".","."
"","339","001","43","2.917","14.0","18.6","34.9","7.0","18.6","4.7",".",".",".",".",".",".",".","2.3",".","."
"","339","002","24","2.854","12.5","12.5","41.7","8.3","20.8","4.2",".",".",".",".",".",".",".",".",".","."
"Environmental Conservation","","Course Total","67","2.894","13.4","16.4","37.3","7.5","19.4","4.5",".",".",".",".",".",".",".","1.5",".","."
"World Regions in Global Contxt","340","001","169","3.220","37.3","19.5","21.9","3.6","3.6",".","7.1","6.5",".",".",".",".","0.6",".",".","."
"Europe","349","001","112","3.407","33.0","30.4","19.6","8.9","4.5",".",".","3.6",".",".",".",".",".",".",".","."
"Africa, South of the Sahara","355","001","22","3.000","4.5","31.8","45.5","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"China and Southeast Asia","358","001","15","3.179","20.0","20.0","26.7","26.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Quantitative Meth-Geog Anal","360","001","50","3.100","28.0","16.0","26.0","16.0","12.0",".","2.0",".",".",".",".",".",".",".",".","."
"Introduction to Cartography","370","001","33","3.315","18.2","30.3","21.2","9.1","3.0",".",".",".",".",".",".",".","6.1",".","12.1","."
"Intro to Geog Info Systems","377","001","51","3.670","66.7","11.8","13.7","2.0","2.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Hist Geog-European Urbanztn","506","001","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economic Geography","510","001","8","3.063","25.0","25.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","19","3.583","36.8","42.1","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"Adv Quantitative Methods","560","001","24","3.646","50.0","29.2","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS Applications","578","001","22","3.795","63.6","31.8","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"GIS and Spatial Analysis","579","001","19","3.684","47.4","42.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","602","010","7","",".",".",".",".",".",".",".",".",".","42.9",".",".",".",".",".","."
"","602","087","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","","Course Total","8","",".",".",".",".",".",".",".",".",".","50.0",".",".",".",".",".","."
"Special Topics in Geography","676","001","29","3.638","65.5","17.2","3.4","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"","682","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
