"STATISTICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"932
STAT","","","","","","","","","","","","","","","","","","",""
"Intro Stats for Engineers","224
001","134","3.627","40.3","46.3","11.9","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","129","2.554","20.2","9.3","21.7","0.8","33.3","8.5","6.2",".",".",".",".",".",".",".",".","."
"","003
301","134","2.877","26.1","20.1","18.7","9.0","11.2","11.9","3.0",".",".",".",".",".",".",".",".","."
"","301
004","89","2.937","12.4","21.3","38.2","4.5","16.9","3.4","1.1",".",".",".",".",".",".",".","1.1","1.1"
"","301
005","123","3.160","30.1","26.8","20.3",".","17.9","2.4","1.6","0.8",".",".",".",".",".",".",".","."
"","006
301","86","2.738","33.7","3.5","25.6","7.0","11.6","9.3","9.3",".",".",".",".",".",".",".",".","."
"","301
008","201","3.010","25.4","16.4","25.4","13.4","13.4","4.0","1.5","0.5",".",".",".",".",".",".",".","."
"Intro-Statistical Methods","Course Total","762","2.894","24.8","16.7","24.3","6.6","17.3","6.4","3.4","0.3",".",".",".",".",".",".","0.1","0.1"
"Acc Intro to Stat Meth","302
001","46","3.293","37.0","13.0","26.1","19.6","4.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat I","309
001","41","2.695","26.8","22.0","17.1","4.9","2.4","17.1","9.8",".",".",".",".",".",".",".",".","."
"Intro to Prob & Math Stat II","310
001","39","2.936","28.2","7.7","35.9","10.3","7.7","5.1","5.1",".",".",".",".",".",".",".",".","."
"","311
001","50","2.950","22.0","14.0","24.0","24.0","12.0","2.0","2.0",".",".",".",".",".",".",".",".","."
"","311
002","46","3.239","37.0","17.4","17.4","13.0","15.2",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Sat (Theo, Meth) I","Course Total","96","3.089","29.2","15.6","20.8","18.8","13.5","1.0","1.0",".",".",".",".",".",".",".",".","."
"","312
001","47","3.181","25.5","25.5","21.3","14.9","12.8",".",".",".",".",".",".",".",".",".",".","."
"","002
312","42","3.655","45.2","42.9","9.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Math Stat (Theo,Meth) II","Course Total","89","3.404","34.8","33.7","15.7","9.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"","324
001","88","3.568","39.8","34.1","26.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","121","2.925","24.8","14.0","27.3","9.1","16.5","4.1","3.3","0.8",".",".",".",".",".",".",".","."
"Intro Applied Stats for Engrs","Course Total","209","3.197","31.1","22.5","26.8","5.3","9.6","2.4","1.9","0.5",".",".",".",".",".",".",".","."
"","327
001","26","3.423","38.5","30.8","19.2","7.7",".","3.8",".",".",".",".",".",".",".",".",".","."
"","327
002","28","3.321","50.0","10.7","14.3","10.7","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","003
327","33","3.364","33.3","27.3","30.3","3.0","3.0","3.0",".",".",".",".",".",".",".",".",".","."
"","327
005","20","3.625","55.0","20.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","006
327","30","3.276","33.3","23.3","16.7","10.0","13.3",".",".",".",".",".",".",".",".","3.3",".","."
"","327
007","15","3.733","80.0","6.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Learning a Stat Lang","Course Total","152","3.421","44.7","21.1","18.4","7.2","5.9","2.0",".",".",".",".",".",".",".","0.7",".","."
"Applied Regression Analysis","333
001","53","3.443","26.4","47.2","17.0","7.5","1.9",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Time Series","349
001","24","3.717","50.0","37.5","8.3",".",".",".",".",".",".",".",".",".",".","4.2",".","."
"Intro Nonparametric Stats","351
001","28","3.750","60.7","28.6","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","140","3.304","33.6","20.0","27.1","12.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","371
002","117","3.312","35.0","21.4","29.1","3.4","10.3",".","0.9",".",".",".",".",".",".",".",".","."
"","003
371","131","3.054","32.8","12.2","18.3","15.3","15.3","5.3",".","0.8",".",".",".",".",".",".",".","."
"","371
004","137","3.239","36.5","17.5","21.2","8.0","14.6","1.5",".",".",".",".",".",".","0.7",".",".","."
"Intro Applied Stats-Life Sci","Course Total","525","3.227","34.5","17.7","23.8","9.9","11.8","1.7","0.2","0.2",".",".",".",".","0.2",".",".","."
"Stat Expermntl Design","001
424","39","3.461","35.9","35.9","17.9","2.6","2.6","2.6",".",".",".",".",".",".",".",".","2.6","."
"","431
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","431
003","6","2.333","16.7","33.3",".",".","16.7","16.7","16.7",".",".",".",".",".",".",".",".","."
"","431
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Theory of Probability","Course Total","10","2.700","30.0","20.0","10.0",".","20.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"Intro-Computational Statistics","471
001","27","3.577","37.0","40.7","14.8","3.7",".",".",".","3.7",".",".",".",".",".",".",".","."
"Intro-Combinatorics","475
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
